,,,,,,,,,,,,,,,,,,,,,,
,ADVENTURE STAGES & NIGHTMARE PUSH 모험,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,8-1,,,11-1,,,14-1,,,NM1-1,,,NM6-1,,,NM11-1,,,NM22-1,,,NM26-1
,,,,,,,,,,,,,,,,,,,,,,
,LET'S BUILD A TEAM!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,STEP 1: CHOOSE YOUR MAIN DAMAGE DEALER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,PHYSICAL DAMAGE,,,,,,,,MAGIC DAMAGE,,,,,,,,,,DEATH,
,,,,,,,,,,,,,,,,,,,,,,
,,,LU BU-T0,,TEO-T2,,KYLE-T2,,KLAHAN-T0,,FREYJA-T0,,REGINLEIF-T0,,RIN-T0,,YEONHEE-T2,,SUNWUKONG-T0,,KRIS-T2,
,,,"Other than Sun Wukong & Kris, you can always choose 2 damage dealers from the same category to be part of the team. This helps you push through faster as DMG is dealt from frequently.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,STEP 2: CHOOSE YOUR GENERAL SUPPORTS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,RACHEL-T0,,LINA-T0,,ALICE-T0,,RYAN-SE,,EVAN-T0,,YUI-T0,,DEO-T0,,ELYSIA-T0,,ACE-T0,,VANESSA-T0,
,,,"While these heroes provide great support for adventure pushing, they eventually fall off when you obtain heroes who provide more dedicated support for monotype teams (as listed below), especially in Nightmare Adventure. 
Certain stages will also require Immunity heroes to be slot into the team.  ",,,,,,,,,,,,,,,,,,,
,,,"For the full list of Immunity Heroes, check [ROLES]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,STEP 3: CHOOSE YOUR DEDICATED SUPPORTS ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,PHYSICAL DMG SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,KAGURA-T0,,KARL HERON-T0,,BRANZE&BRANSEL-T0,,RANDGRID-T0,,FAI-T0,,DELLONS-T0,,EILEENE-T0,,GELIDUS-T0,,GUAN YU-T0,,,
,,,"Players often use full ATTACK-type teams or at least 3 ATTACK-type heroes to complement Lu Bu & Kyle's passives. Other units like Karl Heron, BnB. and Kagura also have skills that support specifically ATTACK-type heroes. Main gear pieces include Assassin/Bounty Hunter sets with Crit Rate/Weakness Hit Chance/DMG increase accessories.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,MAGIC DMG SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,MERCURE-T0,,MELIA-T0,,VANESSA-T0,,KYRIELLE-T0,,ORLY-T0,,DAISY-T0,,XIAO QIAO-T0,,JURI-T0,,O'MOK-T0,,,
,,,Players often use full MAGIC-type teams or at least 3 MAGIC-type heroes to complement Freyja & Reginleif's passives. Other units like Melia and Mercure also benefit from having multiple MAGIC-type heroes in the team. Main gear pieces include Assassin/Bounty Hunter sets with Crit Rate/Weakness Hit Chance/DMG increase accessories.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DEATH SUPPORT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,MIST-T0,,AQUILA-T0,,ROSIE-T0,,KNOX-T0,,ALICE-T0,,RUDY-T0,,NIA-T0,,PALLANUS-T0,,RADGRID-T0,,,
,,,Death teams are more often only used in Nightmare Adventure (since they only have to take down 1 phase). All of them are geared with Spellweaver set and Death Accessories to increase the probability of inflicting Death with ease.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,SAMPLE TEAMS (CAN APPLY TO INFINITE TOWER TOO),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Swap out heroes for Immunity providers, Buff Removers etc when necessary. Sometimes you may even need Taunt units with DMG immunity to negate damage and prevent death (for 3-Star Clears). Or if you have Legendary Accessories, equip them for better survivability especially towards the later Nightmare Adventure stages. You can also use a solo backline 1-4 formation if you have 1 primary damage dealer.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,ATK TEAM,,,,,,,,,,,MAGIC TEAM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,RANDGRID-T0,,LU BU-T6,,BRANZE&BRANSEL-T2,,TEO-T6,,KARL HERON-T0,,,MERCURE-T0,,FREYJA-T2,,O'MOK-T0,,REGINLEIF-T0,,KYRIELLE-T2
,,,BOUNTY,,BOUNTY,,BOUNTY,,BOUNTY,,SPELLWEAVE,,,SPELLWEAVE,,ASSASSIN,,BOUNTY,,BOUNTY,,BOUNTY
,,,DMGCOMBI,,IMMORTAL,,IMMORTAL,,45DMG,,GUTS,,,GUTS,,DMGCOMBI,,DMGCOMBI,,45DMG,,DMGCOMBI
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,UNI TEAM,,,,,,,,,,,DEATH TEAM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,RADGRID-T6,,SUNWUKONG-T6,,LINA-T0,,PALLANUS-T6,,ELYSIA-T0,,,PALLANUS-T0,,MIST-T0,,AQUILA-T0,,KRIS-T2,,ROSIE-T0
,,,GATEKEEP,,BOUNTY,,PALADIN,,ASSASSIN,,GATEKEEP,,,ASSASSIN,,SPELLWEAVE,,SPELLWEAVE,,SPELLWEAVE,,SPELLWEAVE
,,,BLOCK,,DMGCOMBI,,HP,,DMG,,BLOCK,,,DMGCOMBI,,DEATH,,DEATH,,DEATH,,DEATH
