,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADVENT EXPEDITION - 4 LORDS OF OLD 강림원정대편,,,,,,,,,,,,,,,,,,,,,,,,,
,ADVENT EXPEDITION PLAYLIST,,,,,"Positioning MATTERS! Speed priority goes from Front to Back in a Left to Right fashion.
Speed order is labelled accordingly. You may NOT need to match the same speed amount but the Speed Order is neecssary.

The relationship between Gears & Accessories is flexible. Whichever combination is easier to hit near 100%, use that.
For e.g., If you have better Crit Rolls on your gears, then accessory can have Weakness Hit Chance instead and vice versa. If you can achieve both well with gears alone, then accessory can boost other 1-3 Target Atk DMG instead (IDEAL).",,,,,,,,,,,,,,"Skill Queues shown here MAY NOT match the Video Guide shown. In any case, the Skill Queue is the more updated guide.
It is to be assumed that skills of DPS and fixed Support Heroes are enhanced. Any special cases will be identified in Notes.

The Stats Tables is especially important for this mode. 
It further shows ATK & Crit DMG in this mode because you may need a certain amount of stats to take down the phases as fast as possible. This is particularly more crucial for Phase 1 Teams, where you try to complete as fast as you can.
The shaded stats, upon adding up, will be what you actually see on your Hero's Stat screen (BASE+GEARS+T4). The sum is shown in the adjacent cell.
Stats from ACC, EE, PASSIVE & ALLY will only be applied in battle and is not reflected on the hero's stats details.",,,,,,,,,,,
,Teo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yeonhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHADOW TEO 
(구)사황별 태오",,6M TEAM,,,PHASE 1,,,,,,,,,,,PHASE 2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,+MDMG,,"DEF DOWN (P)
BUFF REMOVE",,ST DPS,,MAGIC VUL (P),,"ST DMG BUFFER
DEF DOWN (A)",,,,,,+WEAKNESS DMG,,ST DPS,,"+CRIT RATE
+CRIT DMG
DEF DOWN (A)",,ST DPS,,"DEF DOWN (P)
+WEAKNESS CHANCE",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SKILL QUEUE:,,,0,4,8,12,16,,,,,,,,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPEED: 29,,,"SPEED
ORDER",,A,,B,,E,,D,,C,,,,,,B,,C,,E,,D,,A,,,
,,,,,,33,,33,,29,,29,,33,,,,,,29,,29,,27,,29,,39,,,
,,,,ATK,,~3.8K,,~3.8K,,~4.5K+,,NOT IMPT,,~4K,,,,,,~4K,,~4.2K+,,NOT IMPT,,~4.3K+,,NOT IMPT,,,
,,,,CRIT DMG,,~250%,,~230%,,~270%+,,,,~170%,,,,,,~220%,,~270%+,,,,~240%+,,,,,
,,,,TOTAL:,,99,,99,,105,,,,91,,,,,,100,,100,,,,98,,,,,
,,,,BASE,,5,89,5,89,5,5,,,5,91,,,,,5,73,5,73,,,5,71,,,,
,,,,T4,,-,,-,,-,,,,14,,,,,,-,,-,,,,18,,,,,
,,,,GEARS,,84,,84,,-,,,,72,,,,,,68,,68,,,,48,,,,,
,,,,ACC,,10,,10,,-,,,,-,,,,,,10,,10,,,,10,,,,,
,,,,EE,,-,,-,,-,,,,-,,,,,,-,,-,,,,-,,,,,
,https://youtu.be/3HdWaKYJZrA,,,PASSIVE,,-,,-,,100,,,,-,,,,,,-,,-,,,,-,,,,,
,,,,ALLY,,-,,-,,-,,,,-,,,,,,17,,17,,,,17,,,,,
,,,,TOTAL:,,NOT IMPT,,NOT IMPT,,88,,NOT IMPT,,NOT IMPT,,,,,,50,,94,,NOT IMPT,,99,,NOT IMPT,,,
,,,,T4,,,,,,-,88,,,,,,,,,20,50,20,40,,,-,45,,,,
,,,,GEARS,,,,,,88,,,,,,,,,,30,,20,,,,45,,,,,
,,,,ACC,,,,,,-,,,,,,,,,,-,,-,,,,-,,,,,
,,,,EE,,,,,,-,,,,,,,,,,-,,-,,,,-,,,,,
,,,,PASSIVE,,,,,,-,,,,,,,,,,-,,-,,,,-,,,,,
,Buff Removal is needed to removve Teo's Immortal Buff. Also better to Debuff Teo to deal more damage,,,ALLY,,,,,,-,,,,,,,,,,-,,54,,,,54,,,,,
,,,YEONJI,,,KYRIELLE-T0,,VANESSA-T0,,PASCAL-T6,,MELIA-T0,,XIAO-T6,,,,,,MIHO-T6,,XIAO QIAO-T6,,ORLY-SE,,DAISY-T6,,BISCUIT-T6,,WINDY,
,,,RICHEL,,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,AVENGER,,,,,,AVENGER,,AVENGER,,PALADIN,,AVENGER,,GATEKEEP,,YEONJI,
,,,CROA,,,DMGCOMBI,,BOSSDMG+CWR,,BOSSDMG+ST,,BOSSDMG+CWR,,BLEED,,,,,,BOSSDMG+CWR,,BLEED,,HP,,BLEED,,DOT,,NOTE,
,,,NOTES:,,,Supports do not have to wear Avenger pieces if you do not have sufficient. Bounty Hunter/Assassin for Xiao is alright too. Weakness Hit is less priority compared to Crit Rate & Crit DMG.,,,,,,,,,,,,,,NOTES:,Miho must have lower attack than Daisy and Xiao Qiao.,,,,,,,,,,
,OPTIONS:,,NO MELIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KYRIELLE-T0,,VANESSA-T6,,PASCAL-T6,,MIHO-T6,,LINA-T6,,,,,,ORLY-T0,,XIAO QIAO-T6,,XIAO-T6,,DAISY-T6,,BISCUIT-T6,,,
,,,,"SPEED
ORDER",,A,,B,,D,,E,,C,,,,,,B,,A,,D,,E,,C,,,
,,,,,,29,,29,,29,,25,,29,,,,,,29,,31,,29,,19,,29,,,
,,,SKILL QUEUE:,,,0,4,8,12,16,,,,,,,,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STAGE 1 FOCUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BISCUIT-T0,,XIAO-T6,,PASCAL-T0,,ARIEL-T6,,MIHO-T0,,,,,,ORLY-T0,,VANESSA-T0,,XIAO QIAO-T2,,LINA-T0,,DAISY-T0,,,
,,,,"SPEED
ORDER",,A,,B,,E,,C,,D,,,,,,B,,A,,D,,E,,C,,,
,,,,,,29,,29,,29,,29,,29,,,,,,29,,31,,29,,19,,29,,,
