,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADVENT EXPEDITION - GOD OF DESTRUCTION 강림원정대편 파괴신,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Positioning MATTERS! Speed priority goes from Front to Back in a Left to Right fashion.
Speed order is labelled accordingly.

The relationship between Gears & Accessories is flexible. Whichever combination is easier to hit near 100%, use that.
For e.g., If you have better Crit Rolls on your gears, then accessory can have Weakness Hit Chance instead and vice versa. If you can achieve both well with gears alone, then accessory can boost other 1-3 Target Atk DMG instead (IDEAL).",,,,,,,,,,,,,,"Skill Queues shown here MAY NOT match the Video Guide shown. In any case, the Skill Queue is the more updated guide.
It is to be assumed that skills of DPS and fixed Support Heroes are enhanced. Any special cases will be identified in Notes.

The Stats Tables is especially important for this mode. 
It further shows ATK & Crit DMG in this mode because you may need a certain amount of stats to take down the phases as fast as possible. This is particularly more crucial for Phase 1 Teams, where you try to complete as fast as you can.
The shaded stats, upon adding up, will be what you actually see on your Hero's Stat screen (BASE+GEARS+T4). The sum is shown in the adjacent cell.
Stats from ACC, EE, PASSIVE & ALLY will only be applied in battle and is not reflected on the hero's stats details.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOP SCORING,,,PHASE 1,,,,,,,,,,,PHASE 2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ST DPS,,MAGIC VUL (P),,ST DPS,,DEF DOWN (P),,"+DMG
DEF DOWN (A)",,,,,,"PHYS VUL (P)
ST DPS",,"ST DMG BUFFER
DEF DOWN (A)
BARRIER",,ST DPS,,"+PATK
+IGNORE DEF EFFICIENCY",,DEF DOWN (P),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SKILL QUEUE:,,,0,4,8,,,,,,,,,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,4,8,12,,,,,,,,,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPEED: 100,,,"SPEED
ORDER",,C,,D,,A,,E,,B,,,,,,B,,C,,A,,D,,E,,,,
,,,,,,29,,29,,33,,29,,31,,,,,,29,,29,,33,,29,,19,,,,
,,,,ATK,,~4.2K+,,,,~4.5K+,,~3.7K,,NOT IMPT,,,,,,~3.8K+,,,,~4.2K+,,~3.6K,,NOT IMPT,,,,
,,,,CRIT DMG,,~240%+,,~200%,,~270%+,,~200%,,,,,,,,~250%+,,,,~300%+,,~200%,,,,,,
,,,,TOTAL:,,99,,99,,101,,99,,,,,,,,97,,101,,96,,97,,,,,,
