,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOMMENDED BUILDS (ATTACK L HEROES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEGENDARY++,,,,,,,,LEGENDARY+,,,,,,,,LEGENDARY,,,,,,,,,COLLAB,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KARL HERON,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv 30,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ATK +12%,,ATK +6%,,HP +18%,,Crit Rate +18%,,ATK +12%,,ATK +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CRIT-WEAKNESS BASED,,,,,,,,,SHOCK 'EM WELL,,,,,,,,,,,,,,,,,,PVE,,PVP,
,,,,,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,,,,,,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Crit Rate,,,,,,,,,Weakness Hit,,,,,,,,,,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,TRUE,,,,,,,,Weakness Hit,,,,,,,,,Effect Hit,,,,,,,,,,,,,,,
,,NONE,EARLY,MIDGAME,END,,Crit Rate,,All ATK (%),,,,,,,Weakness Hit,,All ATK (%),,,,,,,,,,,,,,,,,,,
,,,,,,,Weakness Hit,,-,,,,All ATK (%),,,Effect Hit,,-,,,,Effect Resistance,,,,,,,,,,,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Effect Resistance,,,,,,,,,All ATK (%),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Crit DMG,,,,,,,,,Crit Rate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Weakness Hit,,All ATK (%),,"Weakness Hit Chance +35%
Weakness Hit DMG +35%",,,,,Effect Hit,,All ATK (%),,"Effect Hit Rate +35%
Effect Probability +10%",,,,,,,,,,,,,,,,,
,,,,,,,Crit Rate,,-,,,,,,,Weakness Hit,,-,,,,,,,,,,,,,,,,Has a unique marking that serves to cripple the main damage dealer of the enemy team while also boosting the ATTACK team's damage capabilities via Crit DMG & PDMG Boost.,,,
