,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOMMENDED BUILDS (DEFENSE L HEROES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEGENDARY++,,,,,,,,LEGENDARY+,,,,,,,,LEGENDARY,,,,,,,,,COLLAB,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#VALUE!,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,-
,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,,,,,,
,,,,,,,,,ATK +12%,,ATK +6%,,HP +18%,,Crit Rate +18%,,ATK +12%,,ATK +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DMG-BASED V1,,,,,,,,,DMG-BASED V2,,,,,,,,,PVE SUPPORT,,,,,,,,,PVE,,PVP,
,,,,,,,#N/A,,#N/A,,#N/A,,Speed,,,#N/A,,#N/A,,#N/A,,Speed,,,#N/A,,#N/A,,#N/A,,Crit Rate,,,#N/A,,#N/A,
,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,14/5/26,,,,,,,,,Crit Rate,,,,,,,,,Weakness Hit,,,,,,,,,Weakness Hit,,,,,,
