,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOMMENDED BUILDS (MAGIC L HEROES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEGENDARY++,,,,,,,,LEGENDARY+,,,,,,,,LEGENDARY,,,,,,,,,COLLAB,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O'MOK,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv 30,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ATK +12%,,ATK +6%,,HP +18%,,Crit Rate +18%,,ATK +12%,,ATK +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DMG-BASED V1 (MORE PVP),,,,,,,,,DMG-BASED V2 (MORE PVE),,,,,,,,,PVE SUPPORT,,,,,,,,,PVE,,PVP,
,,,,,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,,,,Crit Rate,,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Crit Rate,,,,,,,,,Crit Rate,,,,,,,,,Weakness Hit,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,FALSE,TRUE,TRUE,,,,,,,,Weakness Hit,,,,,,,,,Crit DMG,,,,,,,,,Crit DMG,,,,,,
,,NONE,EARLY,MIDGAME,END,,Crit Rate,,All ATK (%),,,,,,,Crit Rate,,All ATK (%),,,,,,,Crit Rate,,All ATK (%),,,,,,,,,,
,,,,,,,Weakness Hit,,-,,,,Crit DMG,,,Crit Rate,,-,,,,Weakness Hit,,,Weakness Hit,,-,,,,All ATK (%),,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,All ATK (%),,,,,,,,,All ATK (%),,,,,,,,,Speed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,All ATK,,,,,,,,,All ATK,,,,,,,,,All ATK,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crit Rate,,All ATK (%),,"Weakness Hit Chance +35%
Weakness Hit DMG +35%",,,,,Crit DMG,,All ATK (%),,"Crit Rate +35%
Ignore DEF +15%",,,,,Crit Rate,,All ATK (%),,"DMG Dealt +30%
Boss DMG +40%",,,,,,,,
,,,,,,,Weakness Hit,,-,,,,,,,Crit Rate,,-,,,,,,,Weakness Hit,,-,,,,,,,MATK Buffer (and also MDMG though random) and gives MAGIC allies very useful CC Immunity & DMG Immunity.,,,
,,,,,,,NOTES:,"Aim for high Crit Rate & Weakness Hit to maximise DMG output. Viable for both PVP and PVE. If used in PVE, can also use Assassin Set with the same priority on substats.",,,,,,,,NOTES,"Aim for High Crit Rate & Crit DMG to maximise DMG output. Due to more reliance on Crit, this is a build more adjusted for PVE. If used in PVP, aim for high Crit Rate & Weakness Hit instead.",,,,,,,,NOTES,"Primarily in Boss battles as a support due to her MATK Buff. While not used as a main DMG Dealer, she can still do chip damage.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O'MOK-T0,,,,,BOUNTY-MWEAPON,,BOUNTY-ARMOR,,IMMORTAL,,BARRIERATK,,,ASSASSIN-MWEAPON,,ASSASSIN-ARMOR,,GUTS,,DMGCOMBI,,,AVENGER-MWEAPON,,AVENGER-ARMOR,,BOSSDMG,,CRIT,,,FARMING,INFINITE TOWER,ARENA,GUILD WAR
,,,,,,,,,,,REVIVE,,CC,,,,,,,45DMG,,CC,,,,,,,GUTS,,WEAKNESS,,,ADVENTURE BOTH,ADVENT-YH,REAL-TIME ARENA,TOTAL WAR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEGENDARY++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JURI,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lv 30,-,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ATK +12%,,ATK +6%,,HP +18%,,Crit Rate +18%,,ATK +12%,,ATK +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC-BASED (HIGH SPEED),,,,,,,,,DEFENSIVE UTILITY,,,,,,,,,ADVENT EXPEDITION YEONHEE DPS,,,,,,,,,PVE,,PVP,
,,,,,,,,,,,,,Speed,,,,,,,,,Block Rate,,,,,,,,,Crit Rate,,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Crit Rate,,,,,,,,,Effect Hit,,,,,,,,,Crit DMG,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRUE,FALSE,FALSE,FALSE,,,,,,,,Weakness Hit,,,,,,,,,Effect Resistance,,,,,,,,,Weakness Hit,,,,,,
,,NONE,EARLY,MIDGAME,END,,Effect Hit,,DMG Taken Reduction,,,,,,,Effect Hit,,Block Rate,,,,,,,Crit Rate,,All ATK (%),,,,,,,,,,
,,,,,,,-,,Effect Resistance,,,,Crit DMG,,,-,,DMG Taken Reduction,,,,HP (%),,,Crit DMG,,-,,,,All ATK (%),,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,All ATK (%),,,,,,,,,DEF (%),,,,,,,,,All ATK,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,All ATK,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Effect Hit,,DMG Taken Reduction,,"Effect Hit Rate +35%
Effect Probability +10%",,,,,Effect Hit,,Block Rate,,"Effect Hit Rate +35%
Effect Probability +10%",,,,,Crit DMG,,All ATK (%),,"DMG Dealt +30%
Boss DMG +40%",,,,,,,,
,,,,,,,-,,Effect Resistance,,,,,,,-,,DMG Taken Reduction,,,,,,,Crit Rate,,-,,,,,,,Unique 3-TARGET Follow-up Attack and Souldeath debuff to prevent enemy revival. But has fallen off due to poor survivability.,,,
,,,,,,,NOTES:,CC accessories can proc during follow-up attacks. Spellweaver for increased Effect Probability. Can opt for more Defensive Main Stats if allies give Effect Hit.,,,,,,,,NOTES,Defensive utility support role against PVE bosses (i.e. NM adventure).,,,,,,,,NOTES,High Crit Rate and Crit DMG for big damage with Follow-up Attacks but those are chance-based.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JURI-T0,,,,,SPELLWEAVE-MWEAPON,,SPELLWEAVE-ARMOR,,GUTS,,DEATH,,,SPELLWEAVE-MWEAPON,,SPELLWEAVE-ARMOR,,GUTS,,DEATH,,,AVENGER-PWEAPON,,AVENGER-ARMOR,,BOSSDMG,,DMG,,,ADVENTURE BOTH,ADVENT-YH,GUILD WAR,NONE
,,,,,,,,,,,REVIVE,,CC,,,,,,,REVIVE,,CC,,,,,,,13DMG,,CRIT,,,INFINITE TOWER,NONE,TOTAL WAR,NONE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
