,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOMMENDED BUILDS (ALL RARE HEROES),,,,,,,,,,,,,,,,,,,,,,
,,,,,,It is assumed that Rare Heroes should all be T6-ed at the bare minimum and subsequently T12-ed.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RAID,,,,,,,,DUNGEONS,,,,,,,,OUTCLASSED,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,THE BEST,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,XIAO,,,,,SKILL ENHANCEMENT,,,,,,,,,,,POTENTIALS,,,,,,,CORE ROLE,,,
,,,,,,,,,,,,,,,,,,-,,Lv 30,,Lv 30,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,,,,DEATH IMMUNITY,,BARRIER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BOSS BATTLE SETUP,,,,,,,,,BARRIER FOR LIFE,,,,,,,,,PVE,,,
,,,,,,,,,,,,,All ATK (%),,,,,,,,,All ATK (%),,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Crit Rate,,,,,,,,,Weakness Hit,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,TRUE,,,,,,,,Weakness Hit,,,,,,,,,Crit Rate,,,,,,
,,NONE,EARLY,MIDGAME,END,,Crit Rate,,All ATK (%),,,,,,,All ATK (%),,All ATK (%),,,,,,,,,,
,,,,,,,Weakness Hit,,DMG Taken Reduction,,,,All ATK,,,-,,DMG Taken Reduction,,,,All ATK,,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Effect Hit,,,,,,,,,Effect Hit,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crit Rate,,All ATK (%),,"DMG Dealt +30%
Boss DMG +40%",,,,,All ATK (%),,All ATK (%),,"All ATK +45%
Effect Hit Rate +20%",,,,,,,,
,,,,,,,Weakness Hit,,DMG Taken Reduction,,,,,,,-,,DMG Taken Reduction,,,,,,,Many areas where a Death Immunity hero will come in useful. But she also has DEF Reduction and can provide an insanely thick barrier that saves your team from being nuked. She also boosts ST Attack DMG and applies Bleed.,,,
,,,,,,,NOTES:,"Giving her this build increases the chip damage. If she doesn't survive well, give her DMG Taken Reduction instead of ATK%. Weakness Hit main stat for CR. ATK% main stat for Dungeon.",,,,,,,,NOTES:,"Barrier scales off ATK% so this build pushes her ATK to the maximum possible. However, regardless of how thick the barrier is, it will only last for 2 turns.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,XIAO-T0,,,,,AVENGER-PWEAPON,,AVENGER-ARMOR,,GUTS,,DOT,,,VAN-PWEAPON,,VAN-ARMOR,,GUTS,,DOT,,,PUDUNGEON-DARK,INFINITE TOWER,CR-KRIS,ADVENT-KYLE
,,,,,,,,,,,BOSSDMG,,CRIT,,,,,,,BOSSDMG,,CRIT,,,ADVENTURE BOTH,SUDDENRAID-LEONID,ADVENT-TEO,ADVENT-GOD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAID,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EVAN,,,,,SKILL ENHANCEMENT,,,,,,,,,,,POTENTIALS,,,,,,,CORE ROLE,,,
,,,,,,,,,,,,,,,,,,-,,-,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,,,,STUN IMMUNITY,,BARRIER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,OTHER KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TANK V1,,,,,,,,,TANK V2,,,,,,,,,PVE,,,
,,,,,,,,,,,,,DEF (%),,,,,,,,,DEF (%),,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Block Rate,,,,,,,,,Block Rate,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,FALSE,,,,,,,,HP (%),,,,,,,,,HP (%),,,,,,
,,NONE,EARLY,MIDGAME,END,,DEF (%),,Block Rate,,,,,,,DEF (%),,Block Rate,,,,,,,,,,
,,,,,,,-,,DMG Taken Reduction,,,,DEF,,,-,,DMG Taken Reduction,,,,DEF,,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,HP,,,,,,,,,HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Has awakening,,,,,DEF (%),,Block Rate,,"Block Rate +30%
Block DMG Reduction +15%",,,,,DEF (%),,Block Rate,,"DEF +45%, 
Effect Resist Rate +20%",,,,,,,,
,,,,,,,-,,DMG Taken Reduction,,,,,,,-,,DMG Taken Reduction,,,,,,,The MC of the game and a very useful one at that. Provides all the necessary shielding and bulk your team needs when you begin the game.,,,
,,,,,,,NOTES:,This build focuses on his self bulk where it boosts his survivability greatly. Will be recommended if your team doesn't have too much issue surviving.,,,,,,,,NOTES:,"Barrier scales off DEF so this build focuses on increasing the survivability of the entire team with his barrier. However, the barrier only last for 2 turns.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EVAN-T0,,,,,GATEKEEP-PWEAPON,,GATEKEEP-ARMOR,,DOT,,BLOCK,,,GUARDIAN-PWEAPON,,GUARDIAN-ARMOR,,DOT,,BLOCK,,,RAID-DG,CR-RUDY,SUDDENRAID-CALISTRA,CR-JAVE
,,,,,,,,,,,DEF,,HP,,,,,,,DEF,,HP,,,ADVENTURE BOTH,INFINITE TOWER,PUDUNGEON-EARTH,ADVENT-GOD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YUI,,,,,SKILL ENHANCEMENT,,,,,,,,,,,POTENTIALS,,,,,,,CORE ROLE,,,
,,,,,,,,,,,,,,,,,,-,,-,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,,,,BURN IMMUNITY,,HEALING,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,OTHER KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,MAX HEALING,,,,,,,,,DEFENSIVE UTILITY,,,,,,,,,PVE,,,
,,,,,,,,,,,,,HP (%),,,,,,,,,HP (%),,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,HP,,,,,,,,,HP,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,FALSE,,,,,,,,Block Rate,,,,,,,,,Block Rate,,,,,,
,,NONE,EARLY,MIDGAME,END,,HP (%),,HP (%),,,,,,,HP (%),,Block Rate,,,,,,,,,,
,,,,,,,-,,-,,,,DEF (%),,,-,,HP (%),,,,DEF (%),,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DEF,,,,,,,,,DEF,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Speed,,,,,,,,,Speed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HP (%),,HP (%),,"HP +40%
Incoming Healing Boost +20%",,,,,HP (%),,Block Rate,,"Block Rate +30%
Block DMG Reduction +15%",,,,,,,,
,,,,,,,-,,-,,,,,,,-,,HP (%),,,,,,,"Apart from Burn Immunity & heals, she also has the rare ability to revive allies (very handy for early game players). Also, her basic attack can reduce MATK of enemies, further sustaining the team.",,,
,,,,,,,NOTES:,Healing scales off HP so push it to the maximum possible for reliable continuous healing per turn.,,,,,,,,NOTES:,"This build puts more focus on her bulk, if she is still not strong enough while also not forsaking the HP-scaling heals.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YUI-T0,,,,,PALADIN-MWEAPON,,PALADIN-ARMOR,,HP,,BLOCK,,,GATEKEEP-MWEAPON,,GATEKEEP-ARMOR,,HP,,BLOCK,,,RAID-DG,CR-ALL,SUDDENRAID-CALISTRA,INFINITE TOWER
,,,,,,,,,,,DOT,,HP,,,,,,,DOT,,HP,,,ADVENTURE BOTH,TOWER OF TRIALS,PUDUNGEON-FIRE,ADVENT-ALL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KARON,,,,,SKILL ENHANCEMENT,,,,,,,,,,,POTENTIALS,,,,,,,CORE ROLE,,,
,,,,,,,,,,,,,,,,,,-,,-,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,,,,BLEED IMMUNITY,,HEALING,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,OTHER KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TANK V1,,,,,,,,,TANK V2,,,,,,,,,PVE,,,
,,,,,,,,,,,,,All ATK (%),,,,,,,,,DEF (%),,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,Block Rate,,,,,,,,,Block Rate,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,TRUE,,,,,,,,HP (%),,,,,,,,,HP (%),,,,,,
,,NONE,EARLY,MIDGAME,END,,All ATK (%),,All ATK (%),,,,,,,All ATK (%),,All ATK (%),,,,,,,,,,
,,,,,,,-,,DMG Taken Reduction,,,,DEF,,,-,,DMG Taken Reduction,,,,Speed,,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,HP,,,,,,,,,All ATK (%),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Speed,,,,,,,,,All ATK,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All ATK (%),,All ATK (%),,"Block Rate +30%
Block DMG Reduction +15%",,,,,All ATK (%),,DMG Taken Reduction,,"All ATK +45%
Effect Hit Rate +20%",,,,,,,,
,,,,,,,-,,DMG Taken Reduction,,,,,,,-,,All ATK (%),,,,,,,"A healer with tons of healing that makes him even usable in areas outside of the mode he is meant for, espescially if you need a strong, reliable healer.",,,
