,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOMMENDED BUILDS (UNIVERSAL L HEROES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LEGENDARY++,,,,,,,,,,,,LEGENDARY+,,,,,,,,,,,LEGENDARY,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#VALUE!,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,-
,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,#VALUE!,,,,,,,
,,,,,,,,,ATK +12%,,ATK +6%,,HP +18%,,Crit Rate +18%,,ATK +12%,,ATK +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DMG-BASED V1,,,,,,,,,DMG-BASED V2,,,,,,,,,PVE SUPPORT,,,,,,,,,PVE,,PVP,
,,,,,,,#N/A,,#N/A,,#N/A,,Speed,,,#N/A,,#N/A,,#N/A,,Speed,,,#N/A,,#N/A,,#N/A,,Crit Rate,,,#N/A,,#N/A,
,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,14/5/26,,,,,,,,Crit Rate,,,,,,,,,Weakness Hit,,,,,,,,,Weakness Hit,,,,,,
,,HERO PROPERTIES,,,,,,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,#N/A,,,,,#N/A,,#N/A,
,,FALSE,FALSE,TRUE,TRUE,,,,,,,,Weakness Hit,,,,,,,,,Crit Rate,,,,,,,,,Crit DMG,,,,,,
,,NONE,EARLY,MIDGAME,END,,Crit Rate,,All ATK (%),,,,,,,Weakness Hit,,All ATK (%),,,,,,,Crit Rate,,All ATK (%),,,,,,,,,,
,,EXCLUSIVE EQUIPMENT,,,,,Weakness Hit,,-,,#N/A,,Crit DMG,,,Crit Rate,,-,,#N/A,,Crit DMG,,,Weakness Hit,,-,,#N/A,,All ATK (%),,,#N/A,,#N/A,
,,,#VALUE!,,,,#N/A,,#N/A,,,,,,,#N/A,,#N/A,,,,,,,#N/A,,#N/A,,,,,,,,,,
,,,,,,,,,,,,,All ATK (%),,,,,,,,,All ATK (%),,,,,,,,,Speed,,,,,,
,,,,,,,,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,#N/A,,,,,#N/A,,#N/A,
,,,,,,,,,,,,,All ATK,,,,,,,,,All ATK,,,,,,,,,All ATK,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crit Rate,,All ATK (%),,#N/A,,,#N/A,,Weakness Hit,,All ATK (%),,#N/A,,,#N/A,,Crit Rate,,All ATK (%),,#N/A,,,#N/A,,,,,
,,,,,,,Weakness Hit,,-,,,,,,,Crit Rate,,-,,,,,,,Weakness Hit,,-,,,,,,,,,,
,,,,,,,NOTES:,,,,,,,,,NOTES,,,,,,,,,NOTES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEGENDARY++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GELIDUS,,,,,TRANSCENDENCE,,,,,,,,,,,,,,,SKILL ENHANCEMENT,,,,,,,,,,,,POTENTIALS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Lv 30,,Lv 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DEF +12%,,DEF +6%,,HP +18%,,DMG Reduction +10%,,DEF +12%,,DEF +6%,,,BASIC ATK,,SKILL 1 / BTM SKILL,,SKILL 2 / TOP SKILL,,PASSIVE,,AWAKENED SKILL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GEAR BUILDS,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY USAGE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC-BASED,,,,,,,,,DEFENSIVE,,,,,,,,,BLOCK-FOCUSED,,,,,,,,,PVE,,PVP,
,,,,,,,,,,,,,Block Rate,,,,,,,,,Block Rate,,,,,,,,,Block Rate,,,,,,
,,VIEW FULL SKILLSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAST UPDATED:,,,19/05/26,,,,,,,,DEF (%),,,,,,,,,Effect Hit,,,,,,,,,Effect Hit,,,,,,
,,HERO PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FALSE,TRUE,TRUE,TRUE,,,,,,,,Effect Hit,,,,,,,,,DEF (%),,,,,,,,,DEF (%),,,,,,
,,NONE,EARLY,MIDGAME,END,,DEF (%),,DMG Taken Reduction,,,,,,,DEF (%),,DMG Taken Reduction,,,,,,,DEF (%),,DMG Taken Reduction,,,,,,,,,,
