,,,,
,CHANGE LOG,,,
,,,,
,20/5/2026,,5.0.1,"Sorted Heroes in Hero Build Sheets by alphabetical order
Added Skill Queues to [PVP]
Edited Welcome Wish List Presentation in [New Player]"
,19/5/2026,,5.0.0,"1-YEAR ANNIVERSARY
Complete Overhaul of Sheets!
Added [New Player] Sheet
Added Gear Recommendations to [PvP]
Updated [Roles] Sheet
Consolidated [L Hero Tier], [R Hero Tier], [Transcend], [L Hero Gear], [R Hero Gear] into Hero Type Build Sheets
Revamped [Stage&NM] Sheet > [Adv&NM]
Revamped [Dungeon], [Raids], [CR] Sheets with Gear Recommendations & Overall Layout & Skill Queue
Added [Sudden Raid] Sheet with Gear Recommendations & Skill Queue
Revamped [Advent Expedition] into [Advent GoD] & [Advent 4LOO] with Gear Recommendations & Skill Queue
Minor edits to Codex Sheet colour scheme"
,30/4/2026,,4.9.0,"Added Karl Heron
Added Karl Heron to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder"
,3/5/2026,,4.9.1,"Revamped [GvG Teams] Sheet
Revamped [PVP Tierlist]
Updated [Fodder Management] Sheet
Updated [Skill Enhancement Priority] Sheet
Updated [Shop Purchase Recommendations] Sheet"
,30/4/2026,,4.9.0,"Added O'Mok
Added O'Mok to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder"
,16/4/2026,,4.8.0,"Added Mist & Nezha
Added Mist & Nezha to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder"
,7/4/2026,,4.7.1,"Updated [PVE Tierlist], [PVP Tierlist]"
,2/4/2026,,4.7.0,"Added Randgrid
Added Randgrid to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Edited Vanessa's Guild Costume Rarity"
,26/3/2026,,4.6.0,"Added Sung Jinwoo, Cha Haein, Yoo Jinho, Lee Joohee
Added Sung Jinwoo, Cha Haein to Roles, L Hero Tier, L Hero Gear, Transcend
Added Yoo Jinho, Lee Joohee to Roles, R Hero Tier, R Hero Gear
Added Igris
Added [Sudden Raid] Bosses and Recommended Units
Added Sudden Raid Tiering in [L_Tier], [R_Tier]
Added New Equipment Icons"
