    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CASTLE RUSH 공성전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASTLE RUSH PLAYLIST,,,,,"Positioning MATTERS! Speed priority goes from Front to Back in a Left to Right fashion.
For. e.g. If all heroes have the same speed, the speed attack of heroes will proceed in the same numbering you see in the formation label.
If a hero on the right frontline has the same speed as both heroes in the backline, the hero in the front will go first, then those in the back and then the other 2 with lower speed.

The relationship between Gears & Accessories is flexible. Whichever combination is easier to hit near 100%, use that.
For e.g., If you have better Crit Rolls on your gears, then accessory can have Weakness Hit Chance instead and vice versa. 
If you can achieve both well with gears alone, then accessory can boost other 1-3 Target Atk DMG instead (IDEAL).",,,,,,,,,,,,,,,,"Skill Queues shown here MAY NOT match the Video Guide shown. In any case, the Skill Queue is the more updated guide.
It is to be assumed that skills of DPS and fixed Support Heroes are enhanced. Any special cases will be identified in Notes.

The Stats Tables focus on the 2 main stats to work on. 
Other stats like ATK & Crit DMG are good as high as they can go. If you can gamble for higher score with higher Crit DMG stats but <100% Crit Rate or Weakness Hit Chance.
The shaded stats, upon adding up, will be what you actually see on your Hero's Stat screen (BASE+GEARS+T4). The sum is shown in the adjacent cell.
Stats from ACC, EE, PASSIVE & ALLY will only be applied in battle and is not reflected on the hero's stats details.",,,,,,,,,,,,,,,
,Rudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eileene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dellons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GUARDIAN'S CASTLE 
수호자의 성:
RUDY",,,,,,,TOP SCORING,,,,,,,,,,,OPTION,,,,,,,,,,,NEWBIE,,,,,,,
,,,,,,STUN IMMUNITY,,DEF DOWN (P),,3-TARGET DPS,,"+WEAKNESS DMG
3-TARGET DPS",,"+CRIT RATE
BUFF REMOVE",,,STUN IMMUNITY,,"DEF DOWN (P)
BUFF REMOVE",,3-TARGET DPS,,"+WEAKNESS DMG
3-TARGET DPS",,"+DMG
DEF DOWN (A)",,,STUN IMMUNITY,,"+WEAKNESS DMG
3-TARGET DPS",,"DEF DOWN (P)
BUFF REMOVE",,3-TARGET DPS,,"+CRIT RATE
BUFF REMOVE",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
