,,,,,,,,,,,,,,,
,,,POWER UP DUNGEONS 성장던전,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,https://youtu.be/_QoFPypOrvw,,,,,,https://youtu.be/kAEIaUHtyZY,,,,,
,,,,,,,,,,,,,,,
,"FIRE PARTICLE DUNGEON
불의 원소 던전 ",,"STAGE15
FREEZE COMP",BURN IMMUNITY,FREEZE,FREEZE,FREEZE,FREEZE,,"STAGE15
BASIC
COMP",BURN IMMUNITY,BARRIER,FREEZE,FREEZE,HEAL
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,RYAN-T0,HEAVENIA-T2,GELIDUS-T0,LANIA-T0,SPIKE-T0,,,YUI-T6,EVAN-T6,HEAVENIA-T2,LANIA-T0,LINA-T0
,,,,GATEKEEP,AVENGER,AVENGER,AVENGER,AVENGER,,,PALADIN,GATEKEEP,AVENGER,AVENGER,PALADIN
,,,,,,,,,,,,,,,
,,,"STAGE 1-10 
NUKE
COMP",BURN IMMUNITY,BUFFER,ST DPS,"DEF DOWN (P)
+WEAKNESS HIT",HEAL,,"STAGE15
1MAN
4FODDER
COMP",,,FREEZE,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,ARIEL-T0,XIAO QIAO-T0,PASCAL-T0,BISCUIT-T0,LINA-T0,,,,,GELIDUS-T0,,
,,,,GATEKEEP,AVENGER,AVENGER,GATEKEEP,PALADIN,,,,,AVENGER,,
,,,,,,,,,,,,,,,
,● Deals PDMG and grants [PATK Boost],,"OTHER
FREEZE
UNITS",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
