,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RUBY FARMING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDIVIDUAL,Cost (per bundle),Cost (All),Bundles,Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package A,50,1000,20,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package B,80,4000,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package C,100,5000,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package D,120,6000,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package E,150,149850,999,59940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CUMULATIVE,,Cost,Bundles,Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package A,,1000,20,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package AB,,5000,70,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package ABC,,10000,120,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Package ABCD,,16000,170,10200,,,,,,,https://youtu.be/WXQ3TSpYtxM,,,,,,,,,,,,,,,https://youtu.be/9wLOPKYT6yE,,,,,,,,,,,,,,
,Package ABCDE,,165850,1169,70140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FREE DAILY KEYS,,,,,PACKAGE A,,,,,,,PACKAGE A+B,,,,,,,,PACKAGE A+B+C,,,,,,,,PACKAGE A+B+C+D,,,,,,
,,,,,,,780 (F2P) / 1100 (SUBS),,,,,20 Key Bundles,,,,,,,70 Key Bundles,,,,,,,,120 Key Bundles,,,,,,,,170 Key Bundles,,,,,,
,NO SUBSCRIPTION PACKS AT ALL,,,,,,KEYS: 780 (LOWER ESTIMATE),,,,,"COST: 1000 RUBIES
KEYS: 1200 KEYS",,,,,,,"COST: 5000 (1000+4000) RUBIES
KEYS: 4200 (1200+3000) KEYS",,,,,,,,"COST: 10000 (1000+4000+5000) RUBIES
KEYS: 7200 (1200+3000+3000) KEYS",,,,,,,,"COST: 16000 (1000+4000+5000+6000) RUBIES
KEYS: 10200 (1200+3000+3000+3000) KEYS",,,,,,
,TOTAL XP FOR 1 FODDER,AREA,NO. OF FODDERS PER ROUND,EXP PER ROUND,NO. OF ROUNDS TO MAX FODDER,ROUND UP,"NO. OF SETS:
130",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,,NO. OF SETS: 200,SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/
LOSS
(A ONLY)","DAILY NET GAIN
(FREE+A)",,"NO. OF SETS:
700",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/
LOSS
(B ONLY)","NET GAIN/
LOSS
(A+B)","DAILY NET GAIN/LOSS
(FREE+A+B)",,"NO. OF SETS:
1200",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/
LOSS
(C ONLY)","NET GAIN/
LOSS
(A+B+C)","DAILY NET GAIN/LOSS
(FREE+A+B+C)",,"NO. OF SETS:
1700",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/
LOSS
(D ONLY)","NET GAIN/
LOSS
(A+B+C+D)","DAILY NET GAIN/LOSS
(FREE+A+B+C+D)"
,12500,1,4,650,19.2,20,6.50,6,24,480,,10.00,10,40,800,-200,280,,35.00,35,140,2800,-2000,-2200,-1720,,60.00,60,240,4800,-3000,-5200,-4720,,85.00,85,340,6800,-4000,-9200,-9200
,,2 - 7,,940,13.3,14,9.29,9,36,720,,14.29,14,56,1120,120,840,,50.00,50,200,4000,-1200,-1000,-280,,85.71,85,340,6800,-2200,-3200,-2480,,121.43,121,484,9680,-3200,-6320,-6320
,,8,,970,12.9,13,10.00,10,40,800,,15.38,15,60,1200,200,1000,,53.85,53,212,4240,-960,-760,40,,92.31,92,368,7360,-1960,-2640,-1840,,130.77,130,520,10400,-2960,-5600,-5600
,,9,,1000,12.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,1030,12.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,1060,11.8,12,10.83,10,40,800,,16.67,16,64,1280,280,1080,,58.33,58,232,4640,-720,-360,440,,100.00,100,400,8000,-1720,-2000,-1200,,141.67,141,564,11280,-2720,-4720,-4720
