,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FODDER MANAGEMENT RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FODDER MANAGEMENT
(Collabs Excluded)",,,,,,,,,,,,,,,,"FODDER
RANK",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,USE FOR ENHANCEMENT?,USE FOR FUSION?,USE FOR TRANSCENDENCE?,USE FOR ULTIMATE ENHANCEMENT,USE FOR CRAFTING?,USE FOR MERCURE'S LAB?,USE FOR RANK UP?
,CERTIFIED TRASH,,,,,,,,,,,,,,,,,,,,,,,To Enhance 3-STARs,,,,,,
,,,HOKIN-T0,RAHKUN-T0,BANE-T0,NOHO-T0,LEO-T0,,,,,,,,,,,,,,,,,,,,,,,
,"HELPFUL IN BEGINNING BUT
TRASH AFTER YOU GET PREMIUM VERSION AND NO KNOWN AWAKENINGS",,,,,,,,,,,,,,,,,,,,,,,"To Enhance 4-STARs
Sometimes 3-STARs",,,,,,
,,,REI-T0,SERA-T0,ASURA-T0,SARAH-T0,BLACK ROSE-T0,VICTORIA-T0,CLEO-T0,,,,,,,,,,,,,,,,,,,,,
,"TRASH AT THE MOMENT
BUT LIKELY HAS FUTURE AWAKENING",,,,,,,,,,,,,,,,,,,,,,,"To Enhance 5-STARs
Sometimes 6-STARs","Used for Fusions
(LESS RECOMMENDED)",,,"Used to craft Rare 4-STAR Heroes
(especially Early Game)",,
,,,JAVE-T0,BALLISTA-T0,SNIPPER-T0,JUPY-T0,YURI-T0,ARIEL-T0,MAY-T0,SYLVIA-T0,HELLENIA-T0,KARIN-T0,LI-T0,SOI-T0,,,,,,,,,,,,,,,,
,"COMES BACK ONLY IN THE ENDGAME
(MAY NOT ALWAYS BE NECESSARY
SOME HAVE FUTURE AWAKENING)",,,,,,,,,,,,,,,,,,,,,,,To Enhance 6-STARs in the EARLY GAME ONLY,"Rare Hero dupes used for Fusions
(RECOMMENDED)","Important Rare &
Legendary 6-STARs used for
Transcendence",,,,First Copy: Rank Up for sure
,,,ARAGON-T0,CATTY-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OKAY AT T0 NOW
BUT MOST HAVE FUTURE AWAKENING",,,,,,,,,,,,,,,,,,,,,,,,"Rare Hero dupes used for Fusions
(HIGHLY RECOMMENDED)","Important Rare &
Legendary 6-STARs used for
Transcendence",,,,"First Copy: Rank Up for sure

Legendary dupes can be ranked up to 6-STAR"
,,,EILEENE-T0,ACE-T0,KYRIELLE-T0,ELYSIA-T0,KARL HERON-T0,KNOX-T0,VELIKA-T0,CHANCELLOR-T0,BAI JIAO-T0,NIA-T0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Legendary 6-STARs used for
Transcendence","Rare 6-STAR dupes used for 
Ultimate Enhancement
and to unlock Exclusive Equipment slots",Legendary/+ 6-STAR dupes used for crafting Legendary/+,Used for Mercure's Lab,
,,,JOKER-T0,LING LING-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEEDED AT T2 MINIMALLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SPIKE-T0,TEO-T0,ORLY-T0,KLAHAN-T0,KRIS-T0,BRANZE&BRANSEL-T0,O'MOK-T0,RANDGRID-T0,YU SHIN-T0,BAI JIAO-T0,GUAN YU-T0,,,,,,,,,,,,,,,,,
,KEEP TILL AT LEAST T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RACHEL-T0,BISCUIT-T0,VANESSA-T0,MERCURE-T0,YEONHEE-T0,FREYJA-T0,DELLONS-T0,TRUDE-T0,REGINLEIF-T0,LU BU-T0,KYLE-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,COLT-T0,RIN-T0,KAGURA-T0,SILVESTA-T0,TRUDE-T0,PLATIN-T0,KARMA-T0,PALLANUS-T0,AQUILA-T0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AMELIA-T0,DIAOCHAN-T0,DAISY-T0,BIDAM-T0,SIEG-T0,ROOK-T0,DEO-T0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HEAVENIA-T0,JANE-T0,LANIA-T0,,,,,,,,,,,,,,,,,,,,,,,,,
,PRIORITY TO KEEP TILL T12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FAI-T0,ROSIE-T0,JURI-T0,MELIA-T0,GELIDUS-T0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RUDY-T0,RYAN-T0,SUNWUKONG-T0,RADGRID-T0,NEZHA-T0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIHO-T0,TAKA-T0,ALICE-T0,RURI-T0,ESPADA-T0,SHANE-T0,LINA-T0,PASCAL-T0,XIAO QIAO-T0,BAI LONG-T0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EVAN-T0,YUI-T0,KARON-T0,LUCY-T0,CHLOE-T0,JIN-T0,FENG YAN-T0,XIAO-T0,ZHAO YUN-T0,,,,,,,,,,,,,,,,,,,
