,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GUILD WAR 길드전,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This Sheet prioritizes DEFENSE TEAM composition (from Southeast Asia Server). Due to the nature of Guild Wars, it may be hard to completely show ideal ATTACK teams but here's a general guide:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"● When VS Speed comp (usually Attack/Magic) = Aim to outspeed (especially against Vanessa/Nia) or use a team that can withstand DMG or have sustain
● When facing a team with CC (which usually may have low DMG) = Counter with a full sustain team with High ER and aim to win with higher HP
● Sometimes it takes a mirror to fight a mirror (e.g. Wukong VS Wukong)
● Always be mindful of special effects and effect conditions (e.g. Execution, HP Alteration) = Adjust your ATTACK team positioning and Stats accordingly
● Gears indicated are just a general recommendation. There can also be more strategic sets used (depending on Guild Instruction)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LU BU-T0,,KYLE-T0,,BRANZE&BRANSEL-T0,,KAGURA-T0,,AMELIA-T0,,FAI-T0,,RANDGRID-T0,,TEO-T0,,KARL HERON-T0,,,,,,COLT-T0,,DELLONS-T0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FREYJA-T0,,VANESSA-T0,,REGINLEIF-T0,,MELIA-T0,,RIN-T0,,O'MOK-T0,,KYRIELLE-T0,,,,,,,,,,MERCURE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RUDY-T0,,RADGRID-T0,,ARAGON-T0,,KNOX-T0,,AQUILA-T0,,ROOK-T6,,,,,,,,,,,,EVAN-T6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ALICE-T0,,LINA-T0,,DIAOCHAN-T0,,ROSIE-T0,,PLATIN-T0,,,,,,,,,,,,,,YUI-T6,,KARIN-T6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUNWUKONG-T0,,GELIDUS-T0,,ELYSIA-T0,,TRUDE-T0,,PALLANUS-T0,,ACE-T0,,MIST-T0,,KRIS-T0,,,,,,,,NIA-T0,,SPIKE-T0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BACKLINE OPTIONS,,,,,,,,,,FRONTLINE OPTIONS,,,,,,,,,,OTHER PET OPTIONS,,,,,,
,"TEAM 1
PHYSICAL
LU BU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,LU BU-T0,,BLANK-T0,,BLANK-T0,,EIRIN,,RANDGRID-T0,,KYLE-T2,,TEO-T2,,KARL HERON-T0,,,,BRANZE&BRANSEL-T2,,KAGURA-T0,,AMELIA-T0,,,,,,YU,,YORANG,,DELLO,,SHERRY
,,,BOUNTY,,,,,,,,BOUNTY,,BOUNTY,,BOUNTY,,SPELLWEAVE,,,,BOUNTY,,VAN,,ORCHES,,,,,,,,,,,,
,,,IMMORTAL,,,,,,,,IMMORTAL,,GUTS,,GUTS,,GUTS,,,,IMMORTAL,,BARRIERATK,,GUTS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TEAM 2
MAGIC
FREYJA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SPEED,,,,,,,,,,,,,,
,,4-1,FREYJA-T2,,BLANK-T0,,BLANK-T0,,YEONJI,,REGINLEIF-T0,,VANESSA-T0,,O'MOK-T2,,RIN-T2,,KYRIELLE-T0,,MELIA-T0,,DIAOCHAN-T0,,,,,,,,YU,,YORANG,,JEO,,NOTE
,,,BOUNTY,,,,,,,,ORCHES,,SPELLWEAVE,,BOUNTY,,BOUNTY,,BOUNTY,,GATEKEEP,,,,,,,,,,,,,,,,
,,,GUTS,,,,,,,,GUTS,,IMMORTAL,,IMMORTAL,,IMMORTAL,,IMMORTAL,,IMMORTAL,,IMMORTAL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPEED,,,,,,,,
,,1-4,BLANK-T0,,FREYJA-T2,,BLANK-T0,,YEONJI,,,,,,,,,,,,MELIA-T0,,REGINLEIF-T0,,VANESSA-T0,,RIN-T2,,DIAOCHAN-T0,,YU,,YORANG,,JEO,,NOTE
,,,,,BOUNTY,,,,,,,,,,,,,,,,GATEKEEP,,ORCHES,,SPELLWEAVE,,BOUNTY,,,,,,,,,,
,,,,,GUTS,,,,,,,,,,,,,,,,IMMORTAL,,GUTS,,IMMORTAL,,IMMORTAL,,IMMORTAL,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TEAM 3
UNIVERSAL
RADGRID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4-1,SUNWUKONG-T2,,RADGRID-T0,,BLANK-T0,,RUU,,ELYSIA-T0,,GELIDUS-T0,,ACE-T0,,,,,,,,,,,,,,,,KARAM,,JEB,,PIKE,,PARAGON
,,,BOUNTY,,PALADIN,,,,,,ORCHES,,SPELLWEAVE,,GATEKEEP,,,,,,,,,,,,,,,,,,,,,,
,,,REVIVE,,REVIVE,,,,,,REVIVE,,REVIVE,,IMMORTAL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TEAM 4
TANK
PALLANUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,BLANK-T0,,PALLANUS-T0,,BLANK-T0,,KARAM,,,,,,,,,,,,ARAGON-T0,,RUDY-T0,,ALICE-T0,,LINA-T0,,ROSIE-T0,,JEB,,PIKE,,YU,,HELLEPIN
,,,,,ASSASSIN,,,,,,,,,,,,,,,,GATEKEEP,,GATEKEEP,,PALADIN,,PALADIN,,GATEKEEP,,,,,,,,
,,,,,REVIVE,,,,,,,,,,,,,,,,REVIVE,,REVIVE,,REVIVE,,REVIVE,,REVIVE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TEAM 5
UNIVERSAL
TRUDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,BLANK-T0,,TRUDE-T6,,BLANK-T0,,YU,,,,,,,,,,,,GELIDUS-T0,,ELYSIA-T0,,AMELIA-T0,,LINA-T0,,PLATIN-T0,,YORANG,,RICHEL,,JEO,,CROA
,,,,,BOUNTY,,,,,,,,,,,,,,,,BOUNTY,,BOUNTY,,BOUNTY,,BOUNTY,,GATEKEEP,,,,,,,,
,,,,,DEATH,,,,,,,,,,,,,,,,IMMORTAL,,IMMORTAL,,IMMORTAL,,IMMORTAL,,REVIVE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TEAM 6
DEATH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,MIST-T0,,BLANK-T0,,BLANK-T0,,MERPARROW,,KRIS-T2,,GELIDUS-T0,,ROSIE-T0,,,,,,KNOX-T0,,AQUILA-T0,,RADGRID-T0,,,,,,KREE,,NIKKI,,,,
,,,SPELLWEAVE,,,,,,,,SPELLWEAVE,,SPELLWEAVE,,GATEKEEP,,,,,,GATEKEEP,,GATEKEEP,,GATEKEEP,,,,,,,,,,,,
,,,GUTS,,,,,,,,GUTS,,REVIVE,,REVIVE,,,,,,REVIVE,,REVIVE,,REVIVE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
