,,,,,,,,,,,,,,,,,,,,
,MERCURE LAB STATISTICS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"NUMBER OF HEROES
(as of 19/5/2026; Karlheron)",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,L++,5,
,,,,,,,,,,,,,,,,,,L+,39,
,,,,,,,,,,,,,,,,,,L,25,
,,,,,,,,,,,,,,,,,,R,37,
,,,,,,,,,,,,,,,,,,TOTAL,106,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,HERO GRADE POINTS,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,L+,200,
,,,,,,,,,,,,,,,,,,L,150,
,,,,,,,,,,,,,,,,,,R,10,
,,,,,,,,,,,,,,,,,,Leah,10,
,,,,,,,,,,,,,,,,,,,,
,GRADE,POINTS REQUIRED,CHANCES,,,,,,,,% SUM,,HERO COMBINATIONS & POINTS,,,,,,,
,,,L++,,L+,,L,,R,,,,,,,,,,,
,,,Single,Total Chance,Single,Total Chance,Single,Total Chance,Single,Total Chance,,,,1,2,3,4,5,TOTAL POINTS,HIGHEST GRADE
,GRADE 1,50,,,,,0.12,3.00,2.6216,97.00,100,,5x R,10,10,10,10,10,50,1
,GRADE 2,51,,,0.07692,3.00,0.4,10.00,2.3514,87.00,100,,4x R + 1x L,10,10,10,10,150,190,2
,GRADE 3,191,,,0.1026,4.00,0.52,13.00,2.2432,83.00,100,,4x R + 1x L+,10,10,10,10,200,240,3
,GRADE 4,241,,,0.1487,5.80,0.696,17.40,2.07568,76.80,100,,3x R + 2x L,10,10,10,150,150,330,4
,GRADE 5,331,,,0.1744,6.80,0.816,20.40,1.9676,72.80,100,,3x R + 1x L + 1x L+,10,10,10,150,200,380,5
,GRADE 6,381,0.115,0.58,0.6282,24.50,2.997,74.93,,,100,,3x R + 2x L+,10,10,10,200,200,430,6
,GRADE 7,431,0.135,0.68,0.7821,30.50,2.753,68.83,,,100,,2x R + 3x L,10,10,150,150,150,470,7
,GRADE 8,471,0.16,0.80,0.9744,38.00,2.448,61.20,,,100,,2x R + 2x L + 1x L+,10,10,150,150,200,520,8
,GRADE 9,521,0.185,0.93,1.1667,45.50,2.143,53.58,,,100,,2x R + 1x L + 2x L+,10,10,150,200,200,570,9
,GRADE 10,571,0.205,1.03,1.3205,51.50,1.899,47.48,,,100,,1x R + 4x L,10,150,150,150,150,610,10
,GRADE 11,611,0.21,1.05,1.359,53.00,1.838,45.95,,,100,,2x R + 3x L+,10,10,200,200,200,620,11
,GRADE 12,621,0.23,1.15,1.5128,59.00,1.594,39.85,,,100,,1x R + 3x L + 1x L+,10,150,150,150,200,660,12
,GRADE 13,661,0.255,1.28,1.7051,66.50,1.289,32.23,,,100,,1x R + 2x L + 2x L+,10,150,150,200,200,710,13
,GRADE 14,711,0.275,1.38,1.859,72.50,1.045,26.13,,,100,,5x L,150,150,150,150,150,750,14
,GRADE 15,751,0.28,1.40,1.8974,74.00,0.984,24.60,,,100,,1x R + 1x L + 3x L+,10,150,200,200,200,760,15
,GRADE 16,761,0.3,1.50,2.05128,80.00,0.74,18.50,,,100,,4x L + 1x  L+,150,150,150,150,200,800,16
,GRADE 17,801,0.305,1.53,2.525,98.48,,,,,100,,1x R + 4x L+,10,200,200,200,200,810,17
,GRADE 18,811,0.325,1.63,2.5224,98.37,,,,,100,,3x L + 2x  L+,150,150,150,200,200,850,18
,GRADE 19,851,0.35,1.75,2.5192,98.25,,,,,100,,2x L + 3x  L+,150,150,200,200,200,900,19
,GRADE 20,901,0.375,1.88,2.516,98.12,,,,,100,,1x L + 4x  L+,150,200,200,200,200,950,20
,GRADE 21,951,0.4,2.00,2.5128,98.00,,,,,100,,5x L+,200,200,200,200,200,1000,21
,,,,,,,,,,,,,,,,,,,,
,"SUMMARY: Main Grades to aim for are Grade 6 and Grade 17 where specific hero pools are removed. If main goal is to get better tier heroes, then resources are better off spent to aim for Grade 6/17 rather than in-between these Grades.

Hero units selected as materials for rerolling will NOT be consumed until choice confirmation.

Once a hero you want appears, it is a CHANCE to get it; not guaranteed. If a hero you want appears, you confirm your selection and you will have the stated chance to get one of the 5 units shown.",,,,,,,,,,,,"For Grade 6: 
Need 381pts
To remove R heroes & for L++ heroes to enter the pool

Cost-efficient combinations: 
[2x R + 3x L] or [3x R + 2x L+]",,,,"For Grade 17: 
Need 801pts
To remove L heroes from the pool

Cost-efficient combinations: 
[3x L + 2x  L+] or [1x R + 4x L+]",,,
