,,,,,,,,,,,
,,,PACKS GRADING LIST,,,,,,,,
,,,,"Ruby value to keep in mind:
● 60 Keys/Key Bundle = 80 rubies
● 10 Hero/RateUp/Summon Tickets = 1000 rubies
● Legendary Hero/Pet = 10000 rubies",,,,,,,
,,,,,,,,,,,
,CATEGORY,PACKS,,NAME,,"GRADING
(Based on RUBY TO DOLLAR RATIO; Still up to the player to value the items
SSS: Should Get / SS: High Value / S: Consider / A: Average / F: Skip)",,,,,REMARKS
,"Monthly 
Subscriptions",,,"Daily Rudy Support
(28 Days)",,SSS,,,,,
,,,,"Daily Power-Up Support
(28 Days)",,SSS,,,,,
,,,,"Elena's Blessing
(28 Days; 2nd purchase makes it permanent)",,SSS,,,,,
,Special,,,"Welcome Greeting
(Initial phase)",,FREE,,SSS,,,
,,,,,,,,,,,
,,,,Starter Pack,,FREE,SSS,SS,S,,
,,,,,,,,,,,
,,,,Power Up Special,,FREE,SS,A,A,,Value of Element Bundles & Brilliant Enhancement Stone depends on the individual
,,,,,,,,,,,
,,,,"Adventure Support
(Weekends only)",,FREE,SS,A*,S*,,May not have highest Ruby:Dollar Ratio but has a lot of Key Bundles for progression
,,,,,,,,,,,
,,,,Special Ruby Pack,,FREE,S,S,S,,
,,,,,,,,,,,
,,,,Rate Up Summon Special,,SS,SS,S*,A,,Currency-dependent for the 3rd Pack. Value of the first 3 packs are identical in USD but will vary between currencies
,,,,,,,,,,,
,,,,Pet Summon Special,,SS,SS,S*,A,,Currency-dependent for the 3rd Pack. Value of the first 3 packs are identical in USD but will vary between currencies
,,,,,,,,,,,
,,,,30 Rubies,,Free,,,,,
,Limited Time,,,,,,,,,,
,,,,Summon Combo Pack,,SS,,,,,
,,,,,,,,,,,
,,,,Monthly Summon Pack,,SSS,,,,,
,,,,,,,,,,,
,,,,Monthly Legendary Egg Pack,,SS,,,,,
,,,,,,,,,,,
,,,,Monthly Key Bundle Pack,,SS,,,,,
,,,,,,,,,,,
,,,,Weekly Keys Special,,A,F,F,,,Not great Ruby:Dollar Ratio but everyone values Keys differently
,,,,,,,,,,,
,,,,Monthly Hero Summon Pack,,A,?,?,,,
,,,,,,,,,,,
,,,,Weekly Pet Wish List Special,,A,F*,F,F,,Ruby value is very bad but easiest way to whale for progress since Pet Wish List vouchers are not easy to come by
,,,,,,,,,,,
,,,,Weekly Gold Special,,F,F,,,,
,,,,,,,,,,,
,,,,Weekly Ruby Special,,A,?,?,,,
,,,,,,,,,,,
,,,,Weekly Hero Special,,F,F,F,,,
,,,,,,,,,,,
,,,,Rare Skill Enhancement Pack,,F*,,,,,Ruby value is very bad but value of Enhancement Stone depends on the individual
,,,,,,,,,,,
,,,,Legendary Skill Enhancement Pack,,F*,,,,,Ruby value is very bad but value of Brilliant Enhancement Stone depends on the individual
,,,,,,,,,,,
,Daily Shop,,,30 Keys,,FREE,,,,,"Daily Packs, on their own, have bad value but considering that if you buy them 7 times a week to get 1 L hero, the overall value skyrockets "
,,,,,,,,,,,
,,,,Daily Power Up Pack,,F > SSS*,,,,,
,,,,,,,,,,,
,,,,Daily Key Pack x5,,F > SSS*,,,,,
,,,,,,,,,,,
,,,,Daily Rank Up Pack,,F > S*,,,,,
,,,,,,,,,,,
,Ruby Shop,,,Ruby x100,,F,,,,,
,,,,,,,,,,,
,,,,Ruby x400,,F,,,,,
,,,,,,,,,,,
,,,,Ruby x1000,,F,,,,,
,,,,,,,,,,,
,,,,Ruby x1500,,F,,,,,
,,,,,,,,,,,
,,,,Ruby x2640,,F,,,,,
,,,,,,,,,,,
,,,,Ruby x3640,,F,,,,,
,,,,,,,,,,,
,7K Pass,,,Plus Pass,,SSS,,,,,
,,,,,,,,,,,
,,,,Premium Pass,,SSS*,,,,,Value of Brilliant Enhancement Stone depends on the individual
,,,,,,,,,,,
,Adventure Passes,,,Adventure Pass I,,SSS,,,,,
,,,,,,,,,,,
,,,,Adventure Pass II,,SSS,,,,,
,,,,,,,,,,,
,,,,Adventure Pass III,,SSS,,,,,
,,,,,,,,,,,
,,,,Adventure Pass IV,,SSS,,,,,
,,,,,,,,,,,
,,,,Nightmare Pass I,,SSS,,,,,
,,,,,,,,,,,
,,,,Nightmare Pass II,,SSS,,,,,
,,,,,,,,,,,
,,,,Nightmare Pass III,,SSS,,,,,
,,,,,,,,,,,
,,,,Nightmare Pass IV,,SSS,,,,,
,,,,,,,,,,,
,Relays,,,Adventure Growth Relay,,"STEP3: SSS
STEP6: S
STEP9: SS",,,,,
,,,,,,,,,,,
,,,,Rate Up Summon Relay,,"STEP3: SSS
STEP6: SSS
STEP9: SS",,,,,
,,,,,,,,,,,
,,,,Pet Summon Relay,,"STEP3: SSS
STEP6: SSS
STEP9: S",,,,,
,,,,,,,,,,,
,,,,Pet Wish List Relay, ,"STEP3: SSS
STEP6: SSS
STEP9: S",,,,,
