,,,,,,,,,,,,
,,,RARITY,,,3*-6* PETS,,,,PASSIVE 1,,PASSIVE 2 
,,,Legendary,Rare,,,,,,,,
,NO.,FACTION,Uncommon,,,,,,,,,
,1,,Legendary,,,,JEO,,,"[DMG Boost]
Increases DMG dealt by 12%


Enhanced:
1: N/A
2: Increases DMG dealt by 13%
3: Increases DMG dealt by 14%",,"[ALL ATK Boost] 
Increases ALL ATK by 29% for 3 turns (once per round)


Enhanced:
1. Increases ALL ATK by 32% for 3 turns (once per round)
2. Increases ALL ATK by 34% for 3 turns (once per round)
3. Increases ALL ATK by 37% for 3 turns (once per round)"
,,,,,,,,,,,,
,2,,Legendary,,,,YORANG,,,"[Quadruple-Quintuple Target ATK DMG Boost]
Increases Quadruple-Quintuple Target ATK DMG dealt by 17%

Enhanced:
1. Increases Quadruple-Quintuple Target ATK DMG dealt by 18%
2. Increases Quadruple-Quintuple Target ATK DMG dealt by 19%
3. Increases Quadruple-Quintuple Target ATK DMG dealt by 20%",,"[Weakness Hit Chance Reduction]
Inflicts 25% Weakness Hit Chance Reduction

Enhanced:
1. Inflicts 27% Weakness Hit Chance Reduction
2. Inflicts 29% Weakness Hit Chance Reduction
3. Inflicts 31% Weakness Hit Chance Reduction"
,,,,,,,,,,,,
,3,,Legendary,,,,JEB,,,"[DMG Resistance]
Decreases DMG taken by 8%

Enhanced:
1. N/A
2. Decreases DMG taken by 9%
3. Decreases DMG taken by 10%",,"[Incoming Healing Boost]
Increases Incoming Healing by 15%

Enhanced:
1. Increases Incoming Healing by 16%
2. Increases Incoming Healing by 18%
3. Increases Incoming Healing by 20%"
,,,,,,,,,,,,
,4,Seven Knights,Legendary,,,,RUU,,,"[DEF Boost]
Increases DEF by 22%

Enhanced:
1 : Increases DEF by 24%
2: Increases DEF by 26%
3: Increases DEF by 28%",,
,,,,,,,,,,,,
,5,Seven Knights,Legendary,,,,EIRIN,,,"[PATK Boost]
Increases PATK by 21%

Enhanced:
1. Increases PATK by 22%
2. Increases PATK by 24%
3. Increases PATK by 26%",,
,,,,,,,,,,,,
,6,Seven Knights,Legendary,,,,RICHEL,,,"[Weakness Hit Chance Boost]
Increases Weakness Hit Chance by 17%

Enhanced:
1. Increases Weakness Hit Chance by 18%
2. Increases Weakness Hit Chance by 20%
3. Increases Weakness Hit Chance by 22%",,"[Weakness Hit DMG Boost]
Increases Weakness Hit DMG dealt by 10%

Enhanced:
1. Increases Weakness Hit DMG dealt by 11%
2. Increases Weakness Hit DMG dealt by 12%
3. Increases Weakness Hit DMG dealt by 13%"
,,,,,,,,,,,,
,7,Seven Knights,Legendary,,,,KREE,,,"[Effect Hit Rate Boost]
Increases Effect Hit Rate by 19%

Enhanced:
1. Increases Effect Hit Rate by 21%
2. Increases Effect Hit Rate by 23%
3. Increases Effect Hit Rate by 25%",,"[All ATK Boost]
Increases All ATK by 12%

Enhanced:
1. Increases All ATK by 13%
2. Increases All ATK by 14%
3. Increases All ATK by 15%"
,,,,,,,,,,,,
,8,Seven Knights,Legendary,,,,PIKE,,,"[Effect Resist Boost]
Increases Effect Resist by 19%

Enhanced:
1. Increases Effect Resist by 21%
2. Increases Effect Resist by 23%
3. Increases Effect Resist by 25%",,"[DEF Boost]
Increases DEF by 13%

Enhanced:
1. Increases DEF by 14%
2. Increases DEF by 15%
3. Increases DEF by 16%"
,,,,,,,,,,,,
,9,Seven Knights,Legendary,,,,DELLO,,,"[Crit Rate Boost]
Increases Crit Rate by 21%

Enhanced:
1. Increases Crit Rate by 22%
2. Increases Crit Rate by 23%
3. Increases Crit Rate by 25%",,"[Crit DMG Boost]
Increases Crit DMG by 15%

Enhanced:
1. Increases Crit DMG by 16% 
2. Increases Crit DMG by 18%
3. Increases Crit DMG by 20%"
,,,,,,,,,,,,
,10,Seven Knights,Legendary,,,,WINDY,,,"[Boss Vulnerability]
Increases all DMG boss takes by 26%

Enhanced:
1. Increases all DMG boss takes by 27%
2. Increases all DMG boss takes by 28%
3. Increases all DMG boss takes by 30%",,"[ALL ATK Boost]
Increases all ATK by 12%

Enhanced:
1. Increases All ATK by 13%
2. Increases All ATK by 14%
3. Increases All ATK by 15%"
,,,,,,,,,,,,
,11,Four Lords of Old,Legendary,,,,YU,,,"[DEF Reduction]
Decreases DEF by 10%

Enhanced:
1. N/A
2. Decreases DEF by 11%
3. Decreases DEF by 12%",,"[Incoming Healing Reduction]
Decreases Incoming Healing by 32%

Enhanced:
1. Decreases Incoming Healing by 34%
2. Decreases Incoming Healing by 37%
3. Decreases Incoming Healing by 40%"
,,,,,,,,,,,,
,12,Four Lords of Old,Legendary,,,,YEONJI,,,"[MATK Boost]
Increases MATK by 21%

Enhanced:
1. Increases MATK by 22%
2. Increases MATK by 24%
3. Increases MATK by 26%",,
,,,,,,,,,,,,
,13,Four Lords of Old,Legendary,,,,KARAM,,,"[Block Rate Boost]
Increases Block Rate by 15%

Enhanced:
1. Increases Block Rate by 16%
2. Increases Block Rate by 18%
3. Increases Block Rate by 20%",,"[DMG Resistance]
Decreases DMG taken by 8%

Enhanced:
1. N/A
2. Decreases DMG taken by 9%
3. Decreases DMG taken by 10%"
,,,,,,,,,,,,
