,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SINGLE-TARGET DAMAGE DEALERS,,,,,3-TARGET DAMAGE DEALERS,,,,,4/5-TARGET DAMAGE DEALERS,,,,,BUFFERS & DEBUFFERS,,,,,,,UNIQUE ROLES / TANKS / HEALERS,,,,,,,CHANGES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/5/26 :
BUFFERS & DEBUFFERS
Karl Heron ~ Added to S-Tier

30/4/26 :
Revamped DAMAGE DEALERS Segments
O'Mok ~ Added to Buffer S-Tier

6/4/26 :
DAMAGE DEALERS
Sung Jinwoo ~ Added to S-Tier

Daisy ~ S-Tier > SSS-Tier
Reginleif ~ SS-Tier > SSS-Tier
Fai ~ S-Tier > SS-Tier
Espada ~ S-Tier > SS-Tier
Taka ~ S-Tier > SS-Tier
Teo ~ A-Tier > SS-Tier

Yeonhee ~ SS-Tier > S-Tier
Ruri ~ SS-Tier > S-Tier

BUFFERS & DEBUFFERS
Lu Bu ~ Added to SS-Tier
Randgrid ~ Added to S-Tier
Deo ~ Added to A-Tier

Xiao ~ S-Tier to SSS-Tier
Melia ~ S-Tier > SS-Tier
Miho ~ S-Tier > SS-Tier
Orly ~ S-Tier > SS-Tier
Sieg ~ A-Tier > S-Tier
Dellons ~ B-Tier > A-Tier

Reginleif ~ SS-Tier > S-Tier
Kagura ~ SS-Tier > B-Tier
Ryan ~ S-Tier > A-Tier
Victoria ~ B-Tier > C-Tier
Ariel ~ B-Tier > C-Tier
Leo ~ A-Tier > C-Tier

UNIQUE
Cha Hae-In ~ Added to B-Tier
Lee Joohee ~ Added to S-Tier
Yoo Jinho ~ Added to A-Tier
Velika ~ Moved from Buffers

Gelidus ~ S-Tier > SS-Tier
Branze & Bransel ~ A-Tier > SS-Tier
Karon ~ A-Tier > S-Tier

Asura ~ A-Tier > C-Tier
Yu Shin ~ B-Tier > C-Tier
Noho ~ B-Tier > D-Tier
Karma ~ C-Tier > D-Tier
Platin ~ C-Tier > D-Tier
Soi ~ C-Tier > D-Tier
Sarah ~ C-Tier > D-Tier

===============

6/3/26 :
DAMAGE DEALERS
Reginleif ~ Added to SS-Tier

BUFFERS & DEBUFFERS
Reginleif ~ Added to SS-Tier
Vanessa ~ SS-Tier > S-Tier
Guan Yu ~ Added to A-Tier
Ace ~ A-Tier > S-Tier"
,,SHANE-T6,PASCAL-T6,BAI LONG-T6,XIAO QIAO-T6,,RYAN-T0,NEZHA-T0,SUNWUKONG-T6,,,LU BU-T2,FREYJA-T2,REGINLEIF-T6,KYLE-T2,,BISCUIT-T0,LINA-T0,XIAO-T6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FAI-T0,DAISY-T6,ESPADA-T6,,,TAKA-T6,RURI-T6,,,,TEO-T2,,,,,MELIA-T0,RACHEL-T0,ELYSIA-T0,LU BU-T0,MIHO-T2,ORLY-SE,,GELIDUS-T0,MERCURE-T0,BRANZE&BRANSEL-T0,BAI JIAO-T2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SIEG-T6,,,,,BIDAM-T6,MIHO-T6,,,,YEONHEE-T2,SUNG JINWOO-T0,KLAHAN-T0,,,FAI-T0,REGINLEIF-T0,VANESSA-T0,YEONHEE-T0,O'MOK-T0,KARL HERON-T0,,ROSIE-T0,KRIS-T0,MIST-T0,AQUILA-T0,KNOX-T0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,DAISY-T0,SIEG-T0,GUAN YU-T2,DEO-T0,,,,EVAN-T6,YUI-T6,LEE JOOHEE-T6,LUCY-T6,KARON-T6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GUAN YU-T6,,,,,JURI-T0,RACHEL-T6,FENG YAN-T6,,,TRUDE-T6,RIN-T0,,,,RANDGRID-T0,KYRIELLE-T0,ACE-T0,DELLONS-T0,RYAN-T0,CHLOE-T6,,RADGRID-T0,ALICE-T0,RUDY-T0,VELIKA-T0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ZHAO YUN-T6,YOO JINHO-T6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JANE-T6,LING LING-T6,,,,JIN-T6,,,,,PALLANUS-T0,JAVE-T0,RIN-T0,,,EILEENE-T0,KAGURA-T0,CHANCELLOR-T0,,,,,SPIKE-T0,CHA HAEIN-T0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,LI-T6,HEAVENIA-T6,LANIA-T6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SNIPPER-T6,JUPY-T6,YURI-T6,,,CLEO-T6,SERA-T6,,,,COLT-T0,SILVESTA-T0,REI-T6,,,DIAOCHAN-T0,JOKER-T6,CATTY-T6,VICTORIA-T6,ARIEL-T6,LEO-T6,,YU SHIN-T0,NIA-T0,AMELIA-T0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,HELLENIA-T6,KARIN-T6,BLACK ROSE-T6,ASURA-T6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOKIN-T6,,,,,BALLISTA-T0,SYLVIA-T0,,,,,,,,,ROOK-T0,MAY-T6,,,,,,KARMA-T0,PLATIN-T0,ARAGON-T0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,RAHKUN-T6,BANE-T6,SOI-T6,NOHO-T6,SARAH-T6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refer to FODDER Sheet to see what to keep and what not to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Last edit : 30th April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
