,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RAIDS 레이드,,,,,,,,,,,,,,,,,,,,,,,
,,,"Raids form the core of gear farming and it is an important mode where you need to ensure 100% successful and efficient runs.
Actual stats are not reflected here as it is unrealistic to be chasing stats when you are literally farming for the gears required. 
However, once speed and farming come into play, accessories play a key role.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DESTROYER GAZE
파멸의 눈동자",,"SPEED
CLEAR",,"STUN
IMMUNITY",,"BURN
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,,"T15
3-MAN
FARM",,"STUN
IMMUNITY",,"BURN
IMMUNITY",,DPS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,SIEG-T6,,RYAN-T6,,SHANE-T6,,BISCUIT-T6,,RACHEL-T6,,,,,SIEG-T6,,RYAN-T6,,BAI LONG-T6,,,,
,,,,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,AVENGER,,,,,AVENGER,,GATEKEEP,,AVENGER,,,,
,,,,,BOSSDMG+CWR,,BOSSDMG+CWR,,BOSSDMG+ST,,DOT,,BOSSDMG+CWR,,,,,IMMORTAL,,GUTS,,IMMO+GUTS,,,,
,,,NOTES:,,Can also use Sieg and Shane backline.,,,,,,,,,,,NOTES:,,"A very very insane build is needed for this to happen smoothly, involving an Immortal X Guts for Bai Long so that he can survive the entire duration, while capitalizing on his large DMG output. Shane is less recommended as there are few debuffs to leverage on.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"T15
(FASTER)",,"STUN
IMMUNITY",,"BURN
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,,T10/T15,,"STUN
IMMUNITY",,"BURN
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPEED: 60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"● Magic Type and inflicts MDMG
● Has MDMG Resistance",,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,SIEG-T0,,YUI-SE,,SHANE-SE,,BISCUIT-SE,,RACHEL-T2,,,,,EVAN-T0,,YUI-SE,,SHANE-SE,,BISCUIT-SE,,RACHEL-T2
,,,,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,AVENGER,,,,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,AVENGER
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOTES:,,,,,,,,,,,,,NOTES:,,"Biscuit's enhancement on her Basic ATK can come in handy to reduce the boss' DMG dealt. In this case, you would want Biscuit to have over 60 Speed so that she is faster than the boss.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.youtube.com/watch?v=QNeutez3G3I,,,,,,https://youtu.be/QnxWKnH5NOo,,,,,,,https://youtu.be/kP28RpXEiGA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OX KING
우마왕",,"SPEED
CLEAR",,"PETRIFY
IMMUNITY",,"BLEED
IMMUNITY",,"DPS
MAGIC VUL (A)",,"DEF DOWN (P)
+WEAKNESS HIT",,MAGIC VUL (P),,,"T15
3-MAN
FARM",,"PETRIFY
IMMUNITY",,"BLEED
IMMUNITY",,"DPS
MAGIC VUL (A)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
