,,,,,,,,,,,,,,,,,,,,,,
,,,,,ROLES & EFFECTS,,,,,,,,,,,,,,,,,
,,,,,"Coloured Background = Permanent effect  ///  Black Background = Duration-based 
Identical Permanent effects and Duration-based effects can stack together. 
But two or more of the same Permanent effect/Duration-based effect will not stack. The higher % will override the lower %.
**Transcended Bonuses are also included. Please take note of the stars.**",,,,,,,,,,,,,,,,,
,Immunity,,,,Immunities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DMG Boost Buffs,,,,ALL ATK Boost,PATK Boost,PDMG Boost,MATK Boost,MDMG Boost,Crit Rate Boost,Crit DMG Boost,Weakness Hit Chance Boost,Weakness Hit DMG Boost,Triple-Target DMG Boost,Boss DMG Boost,Boss Vulnerability,Def Ignore Efficiency Boost,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DMG Boost Debuffs,,,,DEF Reduction,Block Rate Reduction,Physical Vulnerability,Magical Vulnerability,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DEF Boost Buffs,,,,DEF Boost,MAX HP,DMG Resistance,Physical Resistance,Magic Resistance,Block Rate Boost,Triple-Target ATK Resistance,Quintuple-Target ATK Resistance,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DEF-related Debuffs,,,,ALL DMG Reduction,PDMG Reduction,MDMG Reduction,ALL ATK Reduction,PATK Reduction,MATK Reduction,Weakness Hit Chance Reduction,Crit Rate Reduction,Crit DMG Reduction,Increased Miss Chance,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,HEAL-related,,,,Incoming Healing Boost,Outgoing Healing Boost,Heal,Countinuous Heal,Damage-Based Healing,Life Drain,Incoming Healing Reduction,Outgoing Healing Reduction,Unable to Recover,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,EFFECT-related,,,,Effect Hit Rate Boost,Effect Probability Reduction,Effect Probability Boost,Death Effect Probability Boost,Effect Resist Reduction,Effect Resist Boost,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Status & CC Effects,,,,Stun,Paralysis,Shock,Freeze,Silence,Sleep,Petrify,Blind,Burn,Bleed,Poison,Death,Confusion,,Bomb,Concussion,Fear,
,,,,,,,,,,,,,,,,,,,,,,
,Buff-related,,,,Buff Removal,Buff Duration Reduction,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Immunity & Shield-related,,,,Crowd Control Immunity,Debuff Removal,DMG Immunity,DMG Nullification,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Life-related,,,,Immortality,Revive,Blessing,Guts,Indomitable,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Cooldown-related,,,,Cooldown Reduction,Cooldown Reset,Cooldown Increase,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Special,,,,Chain-attack,DMG Boost per reduced target,Link,Camouflage,Barrier,Follow-Up Attack,Counterattack,Pierce,Ignore DEF,Taunt,Bleed Explosion,Bomb Detonation,Skill Conversion,,Focus Target,Souldeath,Magic Reflux,HP Alteration
,,,,,Execution,Hawk Talons,Eye of the Strong,Pain Endurance,Divinity,Clone,Physical Enhancement,Magic Bond,Crystal Cluster,Crystal Resonance,Mark: Energia's Saturation,Protection,Reckless Valor,,Pinnacle of Martial Arts,Final Judgment,Conqueror of Adversity,Level Up
,,,,,7-Dish Meal Set,Guardian Spirit,Thunderbolt Mark,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Immunities
(Allies)",,,,Stun,Shock,Paralysis,Freeze,Silence,Sleep,Blind,Petrify,Burn,Death,Bleed,Poison,CrowdControl,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,SIEG-T0,GUAN YU-T0,XIAO QIAO-T0,LANIA-T0,DEO-T0,SARAH-T0,ZHAO YUN-T0,DAISY-T0,RYAN-T0,XIAO-T0,KARON-T0,LUCY-T0,RANDGRID-T0,,O'MOK-T0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,EVAN-T0,CHLOE-T0,VICTORIA-T0,FENG YAN-T0,YOO JINHO-T0,,,BLACK ROSE-T0,YUI-T0,LEO-T0,LEE JOOHEE-T0,,RUDY-T6,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,JIN-T0,,,,ARIEL-T0,,,,DIAOCHAN-T0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CLEO-T0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"ALL ATK Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WINDY,KREE,CROA,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,DIAOCHAN-SE,CHLOE-T0,BLACK ROSE-T6,,,,,,,,,,,,JEO,,,
,"ALL DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KARMA-T0,,,,,,,,,,,,,,JEO,MEWMEW,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,LINA-T0,,,,,,,,,,,,,,,,,
,"PATK Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,EILEENE-T0,,,,,,,,,,,,,,EIRIN,SHERRY,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T0,BRANZE&BRANSEL-T0,SIEG-T0,,,,,,,,,,,,,,,
,"PDMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,DELLONS-T0,MAY-T0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,KAGURA-T0,GUAN YU-T0,YUI-T2,,,,,,,,,,,,,,
,"MATK Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,YEONHEE-T0,O'MOK-T0,DAISY-T0,,,,,,,,,,,,YEONJI,NOTE,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,XIAO QIAO-T0,DAISY-T0,NOHO-T0,VICTORIA-T0,,,,,,,,,,,,,,
,"MDMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,SUNG JINWOO-T0,KYRIELLE-T0,VELIKA-T0,ARIEL-T0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,,,,,,,,,,,,,,,,,
,"Crit Rate Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ORLY-T0,,,,,,,,,,,,,,DELLO,NINA,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,CATTY-T0,CHLOE-T6,,,,,,,,,,,,,,,,
,"Crit DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,ORLY-T0,KAGURA-T0,LINA-T2,JOKER-T0,,,,,,,,,,DELLO,LITTLE FENG,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEO-T0,GUAN YU-T2,XIAO QIAO-T6,DIAOCHAN-T0,,,,,,,,,,,,,,
,"Weakness Hit Chance Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,RACHEL-T0,,,,,,,,,,,,,,RICHEL,BAY,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,BISCUIT-T0,CATTY-T6,,,,,,,,,,,,,,,,
,"Weakness Hit DMG Boost
(SELF)",,,,,,,,,,,,,,,,,,,,,
,,,,,RANDGRID-T0,LU BU-T0,,,,,,,,,,,,,RICHEL,,,
,"Weakness Hit DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,RIN-T0,MIHO-T0,,,,,,,,,,,,,,,,
,"Single-Target DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,XIAO-T6,,,,,,,,,,,,,,,,,
,"Triple-Target DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,NEZHA-T0,RYAN-T0,,,,,,,,,,,,,,,,
,"Quadruple- Quintuple Target DMG Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,YORANG,,,
,Boss DMG Boost,,,,,,,,,,,,,,,,,,,,,
,,,,,BISCUIT-T0,,,,,,,,,,,,,,,,,
,"Boss Vulnerability
",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WINDY,,,
,"DEF-Ignore Efficiency Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T6,,,,,,,,,,,,,,,,,
,"DEF-Ignore Efficiency Boost
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,BAI LONG-T0,,,,,,,,,,,,,,,,,
,"Follow-Up Chance Boost
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,BALLISTA-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,DEF Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,RANDGRID-T0,REGINLEIF-SE,ACE-T0,VANESSA-T0,BISCUIT-T0,ELYSIA-T0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,JURI-T0,LU BU-T2,RACHEL-T0,O'MOK-T0,ORLY-SE,LINA-T0,CHANCELLOR-T0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,XIAO-T2,LEO-T0,SARAH-T0,ARIEL-T0,SYLVIA-T0,ASURA-T0,FENG YAN-T2,,,,,,,,,,,
,Block Rate Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,RANDGRID-T0,SUNWUKONG-T0,ACE-T0,CATTY-T2,,,,,,,,,,,,,,
,Physical Vulnerability,,,,,,,,,,,,,,,,,,,,,
,,,,,FAI-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,ACE-T0,RACHEL-T0,KAGURA-T6,TAKA-T0,CATTY-T0,MAY-SE,,,,,,,,,,,
,"Magical Vulnerability

Can be in the form of passive, stacks, active",,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,REGINLEIF-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,VANESSA-T6,XIAO QIAO-T0,MIHO-T0,VELIKA-T0,ESPADA-T0,VICTORIA-T0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"DEF Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,RUDY-T0,YOO JINHO-T0,EVAN-T0,,,,,,,,,,,,RUU,PIKE,PARAGON,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ALICE-T0,LUCY-T0,SARAH-SE,,,,,,,,,,,,,,,
,"MAX HP Boost
(Allies) ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AIVAN,,,
,"DMG Resistance
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JEB,KARAM,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNWUKONG-T0,KARMA-T0,YOO JINHO-T0,,,,,,,,,,,,,,,
,"Physical Resistance
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,VICTORIA-T2,DEO-T0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Magic Resistance
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Block Rate Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ROOK-T0,,,,,,,,,,,,,,KARAM,HELLEPIN,LI-KUH,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,EVAN-T6,,,,,,,,,,,,,,,,,
,"Triple-Target ATK Resistance
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Quintuple-Target ATK Resistance
(Allies)",,,,,,,,,,,,,,,,,,,,,
