,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,HERO,,,TYPE,,,,PASSIVE,,,,BASIC ATTACK,,,,SKILL1 (BTM SKILL),,,,SKILL2 (TOP SKILL),,,,AWK SKILL
,1,,,FAI-T0,ATK,,,,,"ALL ENEMIES:
● Inflicts [Physical Vulnerability] (always active)

SELF:
● [Revive] with 80% HP upon falling in battle (once per battle)
● Grants [Barrier] equal to 135% of PATK for 3 turns upon revival (once per battle)
● Deals additional DMG equal to 70% of PATK against targets inflicted with [Burn]",,,,"1 ENEMY:
● Deals DMG equal to 100% of PATK

3 ENEMIES:
● 35% chance to inflict [Burn] for 2 turns.",,,,"ALL ENEMIES:
● Deals DMG equal to 57% of PATK 2 time(s)
● Each attack has 60% chance of inflicting [Burn] for 2 turns",,,,"1 ENEMY:
● Inflicts 3 [Buff Removal]
● 100% chance to infliict [Burn] for 3 turns
● Deals DMG equal to 340% of PATK and 20% of target's MAX HP
● Instant [Execution] of an enemy with 24% or lower HP

ENEMIES IN THE SAME ROW as the target:
● 60% chance to inflict [Burn] for 2 turns
● Deals DMG equal to 125% of PATK and 14% of target's MAX HP ",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect: [Physical Vulnerability] from 17% > 20%
● Increases Effect: HP gained upon revival from 80% > 100%",,,,● Increases DMG: 100% > 130% of PATK,,,,"● Adds Effect: 29% chance to inflict [DEF Reduction] for 3 turns
● Increases Chance: [Burn] chance increases from 60% > 70%",,,,● Increases DMG: 340% > 410% of PATK and 20% > 26% of target's MAX HP,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,,,,,Changes [Execution] condition from 24% > 30%,,
,,,,,,,,,,,,,,,,,,,,,,,[Execution] targets the whole row of the target,,
,,,,,,,,Effect Descriptions,,"Physical Vulnerability: Increases PDMG taken by 17%

Burn: Deals DMG equal to 80% of caster's ATK every turn",,,,Burn: Deals DMG equal to 80% of caster's ATK every turn,,,,"Burn: Deals DMG equal to 80% of caster's ATK every turn

DEF Reduction: Decreases DEF by 29%",,,,"Buff Removal: Removes buff in the order they are applied. DMG immunity and DMG nullification cannot be removed

Burn: Deals DMG equal to 80% of caster's ATK every turn

Execution: Instantly kills targets whose HP falls below a specific percentage (does not work on targets with HP exceeding 120% of caster's ATK)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,ROSIE-T0,SUPPORT,,,,,"SELF:
● Grants [MAX HP-Based DEF Boost] (always active)
● Grants [All DMG Immunity] for 2 turns when HP falls to 50% or lower

DEF-TYPE & UNIVERSAL-TYPE ALLIES:
● Grants [Effect Probability Boost] (always active)",,,,"2 ENEMIES:
● Deals DMG equal to 30% of MATK and 7% of caster's MAX HP",,,,"ALL ENEMIES:
● Deals DMG equal to 30% of MATK and 7% of the caster's MAX HP 2 time(s)
● 25% chance to inflict [Death] for 3 turns.",,,,"2 ALLIES:
● [Revive] the fallen target with 40% HP

ALL ENEMIES:
● 100% chance to inflict [Buff Duration Reduction] by 2 turns",,,
,,,,,,,,Skill Enhancements,,Increases Turns: [All DMG Immunity] duration from 2 > 3 turns,,,,● Adds Effect: 16% chance to inflict [Effect Resist Reduction] for 2 turns,,,,"● Increases DMG: 30% > 37% of MATK and 7% > 10% of MAX HP
● Increases Chance: [Death] chance increases from 25% > 35%",,,,"● Increases Effect: HP gained upon revival from 40% > 55%
● Adds Effect to REVIVED ALLIES: [Guts] upon revival (once per battle)",,,
,,,,,,,,Transcendence Effects,,,Increases Effect: [Effect Probability Boost] from 20% > 26%,,,,,,,,,,,,Change Number of Targets: 2 ALLIES > ALL ALLIES,,
