 ,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,HERO,,,TYPE,,,,PASSIVE,,,,BASIC ATTACK,,,,SKILL1 (BTM SKILL),,,,SKILL2 (TOP SKILL),,,,AWK SKILL
,1,,,KARL HERON-T0,ATK,,,,,"SELF:
● Grants [All DMG Immunity] for 2 turns
● [Revives] with 80% HP upon falling in battle (once per battle)

ATTACK-TYPE ALLIES:
● Grants [Crit DMG Boost] (always active)

ALL ALLIES:
● Grants [PDMG Boost] for 3 turns
● Grants [Effect Resist Boost] for 3 turns

ALL ENEMIES:
● Inflicts [Incoming Healing Reduction] (always active)

ENEMY WITH HIGHEST ATK:
● Starting battles with at least 3 ATTACK-type heroes on your team inflicts [Thunderbolt Mark] (always active)",,,,"1 ENEMY (Prioritizes targets with [Thunderbolt Mark]):
● Deals DMG equal to 100% of PATK 
● Deals 400 additional Fixed DMG against tarets inflicted with [Thunderbolt Mark]
● 20% chance to inflict [Shock] for 1 turn against targets inflicted with [Thunderbolt Mark]",,,,"3 ENEMIES (Prioritizes targets with [Thunderbolt Mark]):
● Deals [Piercing] DMG equal to 53% of PATK 3 times
● 100% chance to inflict [Physical Vulnerability] for 3 turns
● Deals 1700 additional Fixed [Piercing] DMG against targets inflicted with [Thunderbolt Mark]
● 30% chance to inflict [Shock] for 2 turns against targets inflicted with [Thunderbolt Mark]",,,,"ALL ENEMIES:
● Deals DMG equal to 57% of PATK 2 times
● Each attack has a 30% chance to inflict [Shock] for 2 turns
● Deals 1700 additional Fixed DMG against targets inflicted with [Thunderbolt Mark]
● 30% chance to inflict [Shock] for 2 turns against targets inflicted with [Thunderbolt Mark]",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect: HP gained from [Revive] from 80% > 100%
● Increases Effect: [Incoming Healing Reduction] from 44% > 52%",,,,● Increases DMG: 100% > 120% of PATK,,,,● Increases Effect: [Physical Vulnerability] from 22% > 28%,,,,● Increases chance: [Shock] chance from 30% > 35%,,,
,,,,,,,,Transcendence Effects,,,"Adds Effect to ATTACK-type ALLIES: 
Grants [All DMG Nullification] for 2 hits upon revival (once per battle)
Grants 2 [Debuff Removal] upon revival (once per battle)
Grants [PDMG Boost] for 3 turns upon revival (once per battle)",,,,Increases Chance on ENEMY WITH THUNDERBOLT MARK: [Shock] chance from 20% > 30%,,,,Increases Chance on ENEMY WITH THUNDERBOLT MARK: [Shock] chance from 30% > 50%,,,,Increases Chance on ENEMY WITH THUNDERBOLT MARK: [Shock] chance from 30% > 50%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,"Crit DMG Boost: Increases Crit DMG by 31%

PDMG Boost: Increases PDMG by 19%

Effect Resist Boost: Increases Effect Resistance by 31%

Incoming Healing Reduction: Decreases incoming healing by 44%

Thunderbolt Mark: Applies a bonus effect on the target when Karl Heron uses a skill. Crit Rate and Weakness Hit Chance decrease by 50% for targets inflicted with Thunderbolt Mark. This effect is fixed onto one target per round.",,,,"Shock: Unable to act for the duration of the effect and upon being hit by an enemy's attack, the afflicted target will take bonus DMG equal to 40% of the caster's ATK

Thunderbolt Mark: Applies a bonus effect on the target when Karl Heron uses a skill. Crit Rate and Weakness Hit Chance decrease by 50% for targets inflicted with Thunderbolt Mark. This effect is fixed onto one target per round.",,,,"Physical Vulnerability: Increases physical DMG taken by 22%

Thunderbolt Mark: Applies a bonus effect on the target when Karl Heron uses a skill. Crit Rate and Weakness Hit Chance decrease by 50% for targets inflicted with Thunderbolt Mark. This effect is fixed onto one target per round.",,,,"Shock: Unable to act for the duration of the effect and upon being hit by an enemy's attack, the afflicted target will take bonus DMG equal to 40% of the caster's ATK

Thunderbolt Mark: Applies a bonus effect on the target when Karl Heron uses a skill. Crit Rate and Weakness Hit Chance decrease by 50% for targets inflicted with Thunderbolt Mark. This effect is fixed onto one target per round.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,RUDY-T0,DEF,,,,,"ALL ALLIES:
● Grants [DEF Boost] (always active)

SELF:
● Grants [DMG Resistance] (always active)",,,,"1 ENEMY:
● Deals DMG equal to 50% of PATK and 60% of DEF",,,,"1 ENEMY (By Highest No. of Buffs):
● 100% chance to inflict [Buff Duration Reduction] by 3 turns
● Deals DMG equal to 170% of PATK and 195% of DEF
● 85% chance to inflict [Stun] for 3 turns",,,,"ALL ALLIES:
● Grants [Link] for 2 turns
● Grants 1 [Debuff Removal]",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect: [DEF Boost] from 20% > 24%
● Increases Effect: [DMG Resistance] from 16% > 20%",,,,● Increases DMG: 50% > 65% of PATK and 60% > 75% of DEF,,,,"● Increases DMG: 170% > 205% of PATK and 195% > 235% of DEF
● Increases Chance: [Stun] chance increases from 85% > 100%",,,,● Adds Effect: [Link] reduction rate +10%,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,,,,,Increases Turns: [Link] duration from 2 > 3 turns,,
,,,,,,,,,,,,,,,,,,,,,,,Adds Effect: Grants [CC Immunity] for 2 turns,,
