,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,HERO,,,TYPE,,,,PASSIVE,,,,BASIC ATTACK,,,,SKILL1 (BTM SKILL),,,,SKILL2 (TOP SKILL),,,,AWK SKILL
,1,,,MIHO-T0,MAGIC,,,,,"ALL ALLIES:
●  Grants [Life Drain] to all allies for 2 turns upon activating skills twice
● Grants [Weakness Hit DMG Boost] (always active)",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK",,,,"3 ENEMIES:
● 100% chance to inflict [Magic Vulnerability] for 3 turns
● Deals DMG equal to 145% of MATK ",,,,"3 ENEMIES:
● 100% chance to inflict [Buff Duration Reduction] by 2 turns
● Deals DMG equal to 160% of MATK ",,,
,,,,,,,,Skill Enhancements,,"● Adds Effect to SELF: Grants [Guts] (once per battle)
● Adds Healing to SELF: Recovers 30% of MAX HP upon triggering [Guts]",,,,● Increases DMG: 100% > 120% of MATK,,,,● Increases DMG: 145% > 170% of MATK,,,,● Increases DMG: 160% > 185% of MATK,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,Adds Effect to BACK-ROW ALLIES: Grants 2 [Debuff Removal],,,,,,
,,,,,,,,,,,,,,,,,,,Adds Effect: Deals additional DMG equal to 75% of MATK upon landing a Weakness Hit for each hit,,,,Adds Effect: Deals additional DMG equal to 85% of MATK upon landing a Weakness Hit for each hit,,
,,,,,,,,Effect Descriptions,,"Life Drain: Recovers HP equal to 20% of the DMG dealt

Weakness Hit DMG Boost: Increases Weakness Hit DMG by 23%",,,,,,,,Magic Vulnerability: Increases MDMG taken by 22%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,AMELIA-T0,ATK,,,,,"SELF:
● Grants [Effect Hit Rate Boost] (always active)
● [Revives] with 55% HP upon falling in battle (once per battle)

2 ALLIES (EXCLUDING SELF):
● Grants [Barrier] equal to 90% of the caster's PATK upon falling in battle (2 turns, 2 times per battle)
● Grants 3 [Debuff Removal] upon falling in battle (2 times per battle)",,,,"1 ENEMY:
● Deals DMG equal to 100% of PATK",,,,"3 ENEMIES:
● Deals DMG equal to 60% of PATK 
● 60% chance to inflict [Concussion] for 2 turns

SELF:
● Grants [Barrier] equal to 55% of caster's PATK for 3 turns",,,,"1 ENEMY (with HIGHEST DEF):
● 100% chance to inflict [Unable to Recover] for 4 turns
● Deals DMG equal to 135% of PATK 2 times",,,
,,,,,,,,Skill Enhancements,,● Increases Effect: [Effect Hit Rate Boost] from 40% > 49%,,,,● Increases DMG: 100% > 120% of MATK,,,,● Increases DMG: 60% > 70% of PATK,,,,● Increases DMG: 135% > 165% of PATK,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,,,,,"
● Changes number of targets: 1 > 2 Enemies with HIGHEST DEF",,
,,,,,,,,,,,,,,,,,,,,,,,● Adds Effect: 55% [HP Alteration],,
,,,,,,,,Effect Descriptions,,,,,,,,,,"Concussion: Concussed targets cannot perform any actions, and the duration increases by 1 turn when hit by an enemy attack that has 2 or more hits. When the duration increases, it cannot exceed the initially applied duration",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,TAKA-T0,ATK,,,,,"3 ENEMIES (in order of highest ATK power):
● Performing any attack 2 time(s) inflicts 2 stacks of [Hawk's Talons] (Max 8 stacks)",,,,"1 ENEMY:
● Deals DMG equal to 100% of PATK
● Deals additional DMG equal to 45% of PATK when target's current HP is 30% or lower",,,,"3 ENEMIES:
● Deals DMG equal to 145% of PATK (additional +37% Critical DMG)",,,,"3 ENEMIES:
● Deals DMG equal to 145% of PATK
● If the target's current health is below 30%, deals additional DMG equal to 260% of PATK",,,
,,,,,,,,Skill Enhancements,,● Adds Effect to SELF: Grants [All DMG Nullification] for 1 hit upon using skill,,,,"● Increases DMG: 100% > 132% of PATK
● Increases DMG: Additional DMG from 45% > 55%",,,,● Increases Effect: Additional 37% > 46% Critical DMG,,,,● Increases DMG: 145% > 170% of PATK,,,
,,,,,,,,Transcendence Effects,,,Increases Effect: [Hawk's Talons] Physical Vulnerability (Increases PDMG taken) 3% > 4%,,,,,,,,,,,,Adds Effect: Ignore DEF,,
,,,,,,,,,,-,,,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,Hawk's Talon: Increases PDMG taken by 3%,,,,,,,,,,,,Ignore DEF: Ignores 40% of the target's DEF,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,VELIKA-T0,MAGIC,,,,,"SELF:
● Grants [Crit Rate Boost] (always active)
● Grants [Barrier] equal to 160% of caster's MATK for 3 turns (once per round)

ALL ALLIES:
● Grants [MDMG Boost] in Infinite Tower and Tower of Trials (always active)
",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK

ALL ALLIES:
● Reduces skill cooldowns by 9s in Infinite Tower and Tower of Trials",,,,"ALL ENEMIES:
● Deals DMG equal to 105% of MATK
● Deals additional DMG equal to 40% of MATK upon landing a Critical Hit
● 60% chance to inflict [Burn] for 2 turns",,,,"ALL ENEMIES:
● Deals DMG equal to 105% of MATK
● Deals additional DMG equal to 55% of MATK upon landing a Critical Hit
● 100% chance to inflict [Magic Vulnerability] for 3 turns",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect: [Crit Rate Boost] from 27% > 33%
● Increases Effect: [MDMG Boost] from 28% > 31%",,,,"● Increases DMG: 100% > 120% of MATK
● Increases Effect: Skill Cooldown Reduction from 9s > 12s",,,,"● Increases DMG: 105% > 120% of MATK
● Adds DMG: Deals additional DMG equal to 40% > 50% of MATK upon landing a Critical Hit",,,,"● Increases DMG: 105% > 120% of MATK
● Increases Effect: [Magic Vulnerability] from 17% > 22%",,,
,,,,,,,,Transcendence Effects,,,"Increases Effect: [Barrier] from 160% > 185%
Adds Effect: Grants [Barrier] equal to 185% of MATK for 3 turns when HP falls to 50% or lower (once per battle)",,,,,,,,,,,,Adds Effect: 60% chance to inflict [Silence] for 2 turns,,
,,,,,,,,,,-,,,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,"Crit Rate Boost: Increase Crit Rate by 27%

MDMG Boost: Increase MDMG dealt by 28%",,,,,,,,Burn: Deals DMG equal to 80% of caster's ATK every turn,,,,Magic Vulnerability: Increase MDMG taken by 17%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
