,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,HERO,,,TYPE,,,,PASSIVE,,,,BASIC ATTACK,,,,SKILL1 (BTM SKILL),,,,SKILL2 (TOP SKILL),,,,AWK SKILL
,1,,,XIAO-T0,ATK,,,,,"ALL ALLIES:
● Grants [Death Immunity] for 2 turns
● Grants [Death Immunity] for 2 turns upon performing a basic attack
● Heals HP equal to 40% of the caster's PATK when HP falls to 50% or lower. (Once per Battle)",,,,"1 ENEMY:
● Deals DMG equal to 100% of PATK",,,,"1 ENEMY:
● Deals DMG equal to 230% of PATK
● Deals additional DMG equal to 180% of PATK against targets inflicted with [Bleed]

ALL ALLIES:
● Grants a [Barrier] equal to 160% of the caster's PATK for 2 turns",,,,"1 ENEMY:
● Deals DMG equal to 170% of PATK
● 100% chance to inflict [Bleed] for 3 turns",,,
,,,,,,,,Skill Enhancements,,● Increases Healing: 40% > 45% of PATK ,,,,● Increases DMG: 100% > 120% of PATK ,,,,● Increases DMG: 230% > 270% of PATK ,,,,● Increases DMG: 170% > 205% of PATK ,,,
,,,,,,,,Transcendence Effects,,,Adds Effect to ALL ALLIES: Grants [Single-Target ATK DMG Boost] (always active),,,,,,,,Adds Effect: 100% chance to inflict [DEF Reduction] for 5 turns,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,,,,,,,,,DEF Reduction: Decreases DEF by 39%,,,,"Bleed: The target takes [Piercing] DMG equal to 60% of the caster's ATK every turn. DMG increases for every stack of [Bleed] on the target, up to 5 stacks.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,EVAN-T0,DEF,,,,,"ALL ALLIES:
● Grants [DEF Boost] (always active)
● Grants [Stun Immunity] for 2 turns
● Grants [Stun Immunity] for 2 turns upon performing a basic attack",,,,"1 ENEMY:
● Deals DMG equal to 50% of PATK and 60% of DEF",,,,"1 ENEMY (By Highest No. of Buffs):
● Deals DMG equal to 145% of PATK and 165% of DEF
● 85% chance to inflict [Stun] for 3 turns",,,,"ALL ALLIES:
● Grants [Barrier] equal to 110% of caster's DEF for 2 turns",,,
,,,,,,,,Skill Enhancements,,● Increases Effect: [DEF Boost] from 13% > 18%,,,,● Increases DMG: 50% > 60% of PATK and 60% > 70% of DEF,,,,● Increases Turns: [Stun] duration from 3 > 4 turns,,,,● Increases Effect: [Barrier] from 110% > 130% of caster's DEF,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,"Increases DMG: 145% > 170% of PATK and 165% > 200% of DEF
Increases Chance: [Stun] chance increasess from 85% > 100%        ",,,,Adds Effect: Grants [Block Rate Boost] for 3 turns,,
,,,,,,,,,,-,,,,-,,,,-,,,,,,,
,,,,,,,,Effect Descriptions,,DEF Boost: Increases DEF by 13%,,,,,,,,Stun: Unable to act for the duration of the effect,,,,Block Rate Boost: Increases Block Rate by 21%,,,
