,,,,,,,,,,,,
,,,SHOP PURCHASE RECOMMENDATIONS,,,,,,,,,
,,,"If item is not listed here, that means NOT WORTH THE PURCHASE (but to each his own).",,,,,,,,,
,,,,,,,,,,,,
,SHOPS,,"ACCOUNT 
STAGE
(If Both,
Priorities don't change)",,,,,,,,,REMARKS
,,,EARLY,LATE,TOP PICKS,,,WORTH BUYING,,SITUATIONAL,LOW PRIORITY,
EXCHANGE SHOPS,,,,,,,,,,,,
,"GOLD
(DAILY PURCHASE)",,,,,,,,,,,Hero Tickets less important in late game due to accumulation
,,,,,Hero Summon Voucher,Quality Egg,Uncommon Hero Ticket,Common Egg,,Common Hero Ticket,Soundtrack Token,
,,,,,,,,,,,,
,"RUBY
(DAILY PURCHASE)",,,,,,,,,,,Refer to Farming Sheet for profit-loss analysis
,,,,,50 Rubies per Bundle,80 Rubies per Bundle,,,,100 Rubies per Bundle,120 Rubies per Bundle,
,,,,,,,,,,,,
,"TOPAZ
(MONTHLY PURCHASE)",,,,,,,,,,,Whale currency afterall so depending on how much you buy and how desperate you are
,,,,,Brilliant Enhance Stone,Pascal,Shane,Legendary Egg,,Espada,Star Crystal,
,,,,,,,,,,,,
,,,,,Brilliant Enhance Stone,Star Crystal,4* L Accessory,Oblivion Essence,Chaos Essence,Rank Up Material,,
,,,,,,,,,,,,
,"HONOR
(WEEKLY PURCHASE)",,,,,,,,,,,Pooki Token & Sudden Raid Tickets are dependent on Account needs
,,,,,Pooki Token,Sudden Raid Ticket,Keys,Raid Ticket,Gold,Uncommon Hero Ticket,Common Hero Ticket,
,,,,,,,,,,,,
CONTENT SHOPS,,,,,,,,,,,,
,"ARENA
(MONTHLY PURCHASE)",,,,,,,,,,,"Get Bai Long & Ryan to T6 minimally first. In the End Game, they can be bought as material for Mercure's Lab. Especially Ryan as he is an L+

Preference for Star Crystals or Essence will ultimately depend on your progression in terms of pets and gears. Unlocking all Pet Potentials first is bigger priority than refining gear substats

The essences are actually priced on the higher end here"
,,,,,Brilliant Enhance Stone,Bai Long,Pet Wish List Voucher,Keys,Hero Summon Voucher,,Skill Enhancement Stone,
,,,,,,,,,,,,
,,,,,Brilliant Enhance Stone,4* L Accessory,Pet Wish List Voucher,Keys,Hero Summon Voucher,Bai Long,Skill Enhancement Stone,
,,,,,,,,,,,,
,,,,,Ryan,Star Crystal,,Star Fragment,,,Oblivion Essence,
,,,,,,,,,,,,
,,,,,Star Crystal,4* L Accessory,Ryan,Star Fragment,,Pet Wish List Voucher,Oblivion Essence,
,,,,,,,,,,,,
,"TOTAL WAR
(MONTHLY PURCHASE)",,,,,,,,,,,
,,,,,Brilliant Enhance Stone,Key Bundle,Pet Wish List Voucher,Uncommon Hero Ticket,,Skill Enhancement Stone,Legendary Hero Ticket II,
,,,,,,,,,,,,Not frequent in acquisition so Top Picks are less. You may want to save for the 6* Legendary Accessory but the time taken for that can get you 3x 5* Legendary Accessory
,,,,,5* L Accessory,6* L Accessory,,Legendary Talisman,Rare Talisman,4* L Accessory,Uncommon Talisman,
,,,,,,,,,,,,
,"GUILD
(WEEKLY PURCHASE)",,,,,,,,,,,"While Nezha is really awesome, she also costs a lot and this can deprive you of other essential materials and resources especially in Early Game. But do get her to T6 at least"
,,,,,Sudden Raid Ticket,Superb Egg,Keys,Uncommon Hero Ticket,Gold,Nezha,Quality Egg,
,,,,,,,,,,,,
,,,,,Sudden Raid Ticket,Keys,Oblivion Essence,Superb Egg,Chaos Essence,Nezha,Quality Egg,
,,,,,,,,,,,,
,,,,,Key Bundle,Seven Knights Ticket,Star Crystal,Star Fragment,,Uncommon Hero Ticket,,
,,,,,,,,,,,,"For the Equipment Boxes, they only give 1 piece of equipment"
,,,,,4 Lord of Old Ticket,Legendary Talisman,,Rare Talisman,5* R Accessory,Teo/Yeonhee's Equipment,Kyle/Karma's Equipment,
,,,,,,,,,,,,
,"GUILD WAR
(MONTHLY PURCHASE)",,,,,,,,,,,"Amelia is more commonly used in Guild War even till late game as compared to Diaochan, who does require very high speed too"
,,,,,Key Bundle,Hero Summon Voucher,Star Crystal,Amelia,Star Fragment,Diaochan,Skill Enhancement Stone,
,,,,,,,,,,,,
,,,,,Star Crystal,Star Fragment,Key Bundle,Hero Summon Voucher,Rare Talisman,Heroes,Skill Enhancement Stone,
,,,,,,,,,,,,You likely will not have spare Pendants to buy anything besides the 7KOO Ticket/Selector. Ticket or Selector depends on whether there is any specific hero you want but difference in cost is 1-2 months additional wait
,,,,,7 Knights of Old Ticket,7 Knights of Old Selector,,,,Legendary Hero Ticket II,Hero Summon Voucher,
,,,,,,,,,,,,Essence of Memories is highly needed in large quantities to get Perfect gear. Aged Refining Dust is a material needed for a gamble
,,,,,Essence of Memories,Pet Wish List Voucher,,Star Crystal,,Aged Refining Dust,,
