,,,,,,,,,,,,,,,,,,,,
,,,SKILL ENHANCEMENT & ULTIMATE ENHANCEMENT PRIORITIES,,,,,,,,,,,,,,,,,
,,,"Hero Priorities are shown from Left to Right per row, starting with Legendary Heroes then Rare Heroes.
Content Priority is displayed as Top to Bottom based on game progression, but also depending on player's preference
Awakening requires the hero to be full skill enhanced.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"ADVENTURE
DUNGEONS",,,,,,,,,,,,,,,,,,,
,,,CHOOSE ONE,,,,,,,,NIGHTMARE,,,,,,,,,
,,,LU BU-T0,FREYJA-T2,TEO-T2,LINA-T0,BISCUIT-T0,BAI JIAO-T0,ACE-T0,RACHEL-T0,MERCURE-T0,,EVAN-T0,YUI-T0,CHLOE-T0,XIAO-T0,FENG YAN-T0,JOKER-T0,HEAVENIA-T0,JANE-T2
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RAIDS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,IF NO DAISY,,,,,
,,,PASCAL-T0,SHANE-T0,ESPADA-T0,DAISY-T0,XIAO QIAO-T0,BAI LONG-T0,GUAN YU-T0,,,,LUCY-T0,KARON-T0,BLACK ROSE-T0,ZHAO YUN-T0,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"CASTLE
RUSH",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IF NO DEO,,,,,,,
,,,RYAN-T0,NEZHA-T0,RURI-T0,TAKA-T0,MIHO-T0,ORLY-T0,SIEG-T0,DEO-T0,,,JIN-T0,,,,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TOWERS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,SUNWUKONG-T0,ELYSIA-T0,YEONHEE-T0,RANDGRID-T0,BRANZE&BRANSEL-T0,REGINLEIF-T0,,,,,,,,,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,PVP,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,GELIDUS-T0,MELIA-T0,RIN-T0,RADGRID-T0,ALICE-T0,PALLANUS-T0,KARL HERON-T0,,,,,,,,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"ADVENT
EXPEDITION",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IF MIHO T0,,,,,,,
,,,FAI-T0,VANESSA-T0,CHANCELLOR-T0,BIDAM-T0,,,,,,,SARAH-T0,,,,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"FOR FUTURE
AWAKEN",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,DELLONS-T0,SILVESTA-T0,KNOX-T0,,,,,,,,HELLENIA-T0,KARIN-T0,ARIEL-T0,,,,,
,BASIC ATK,,,,,,,,,,,,,,,,,,,
,S1,,,,,,,,,,,,,,,,,,,
,S2,,,,,,,,,,,,,,,,,,,
,PASSIVE,,,,,,,,,,,,,,,,,,,
