    ,,,,,,,,,,,,,,,
,,,,,,SUDDEN RAID 돌발 레이드,,,,,,,,,
,,,,,,"Sudden Raid's requirements are quite heavy.
While it is recommended to stick to the best scoring team for farming, if you face issues with the team listed, feel free to use the alternative heroes listed to get a smoother/more consistent run with no scoring concerns. Ultimately, for majority of players, this is a farming mode rather than a competitive one. The videos also illustrate how to use the possible alternatives.",,,,,,,,,
,,,,,,,,,,,,,,,
,"CALISTRA
칼리스트라",,,,,"BURN IMMUNITY
COOLDOWN REDUCTION",,BLIND IMMUNITY,,ST DPS,,"PHYS VUL (A)
+WEAKNESS (P)",,"DEF DOWN (P)
+WEAKNESS HIT",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,
,,,,"SPEED
ORDER",,C,,D,,E,,A,,B,
,,,,,,29,,29,,29,,33,,31,
,,,,ATK,,~4.2K,,~3.4K,,~4.2K+,,~3.7K+,,NOT IMPT,
,,,,CRIT DMG,,~250%,,~200%,,~300%+,,~210%+,,,
,,,,TOTAL:,,103,,95,,100,,99,,,
,,,,BASE,,5,103,5,95,5,59,5,89,,
,,,,T4,,18,,14,,18,,-,,,
,,,,GEARS,,80,,76,,36,,84,,,
,SPEED: 29,,,ACC,,-,,-,,-,,10,,,
,,,,EE,,-,,-,,-,,-,,,
,,,,PASSIVE,,-,,-,,41,,-,,,
,,,,ALLY,,-,,-,,-,,-,,,
,,,,TOTAL:,,101,,NOT IMPT,,101,,NOT IMPT,,NOT IMPT,
,,,,T4,,-,20,,,-,20,,,,
,,,,GEARS,,20,,,,20,,,,,
,,,,ACC,,-,,,,-,,,,,
,,,,EE,,-,,,,-,,,,,
,,,,PASSIVE,,-,,,,-,,,,,
,https://youtu.be/FauxecQNc2U,,,ALLY,,81,,,,81,,,,,
,,,,,,RYAN-T6,,ZHAO YUN-T6,,SHANE-T6,,RACHEL-T6,,BISCUIT-T6,
,,,,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,
,,,,,,GUTS,,IMMORTAL,,BOSSDMG+ST,,BOSSDMG+CWR,,DOT,
,"● Magic Type and inflicts MDMG
● Has MDMG Resistance",,NOTES:,,,"If you can't survive well with Ryan, use Yui instead. If using Yui, Shane should be Speed Order 3 (C).
Some players also use Xiao over Rachel.
Zhao Yun should die but a 5* Immortal Ring is good enough.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,RESPECTIVE OPTIONS,,,,,,,,,,,,
,,,,,,,,YUI-T6,,,,XIAO-T6,,,
,,,,,,,,,,,,,,,
,"ASTREA
아스트레아",,,,,BLEED IMMUNITY,,"DEF DOWN (P)
+WEAKNESS HIT",,PETRIFY IMMUNITY,,ST DPS,,"+CRIT RATE (P)
+CRIT DMG (P)",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,
,,,,"SPEED
ORDER",,D,,B,,C,,E,,A,
,,,,,,32,,35,,33,,29,,35,
,,,,ATK,,NOT IMPT,,NOT IMPT,,~3.8K+,,~4K+,,NOT IMPT,
,,,,CRIT DMG,,,,,,~270%+,,~270%+,,,
,,,,TOTAL:,,,,,,102,,100,,,
,,,,BASE,,,,,,5,75,5,43,,
,,,,T4,,,,,,18,,18,,,
,,,,GEARS,,,,,,52,,20,,,
,SPEED: 240,,,ACC,,,,,,10,,-,,,
,,,,EE,,,,,,-,,-,,,
,,,,PASSIVE,,,,,,-,,40,,,
,,,,ALLY,,,,,,17,,17,,,
,,,,TOTAL:,,NOT IMPT,,NOT IMPT,,99,,99,,NOT IMPT,
,,,,T4,,,,,,-,45,-,45,,
,,,,GEARS,,,,,,45,,45,,,
,,,,ACC,,,,,,-,,-,,,
,,,,EE,,,,,,-,,-,,,
,,,,PASSIVE,,,,,,-,,-,,,
,https://youtu.be/CWe22zetfR0,,,ALLY,,,,,,54,,54,,,
,,,,,,KARON-T6,,BISCUIT-T6,,DAISY-T6,,ESPADA-T6,,ORLY-SE,
,,,,,,GATEKEEP,,GATEKEEP,,AVENGER,,AVENGER,,PALADIN,
,,,,,,DOT,,DOT,,BOSSDMG+CWR,,BOSSDMG+ST,,DOT,
,"● Magic Type and inflicts MDMG
● Has PDMG Resistance
● Summons ""Dikai""s with high DMG Resistance buff, hence the need for Buff Removal
● Astrea herself has 0 Defense so DEF Reduction does not influence DMG output",,NOTES:,,,"Main DPS should not be in the backline as Astrea inflicts [All ATK Reduction] on backline. So save the time on needing to cleanse.
You can stack SPD on Support units to outspeed Astrea's SPD of 240 for quicker runs (and higher score). And in this case, Skill Queue will be tweaked so that Espada's S1 goes first.
Astrea has 0 DEF so DEF Reduction is pointless.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,RESPECTIVE OPTIONS,,,,,,,,,,,,
,,,,,,LEE JOOHEE-T6,,,,,,,,MIHO-T6,
,,,,,,,,,,,,,,,
,"LEONID
레오니드",,,,,SHOCK IMMUNITY,,"DEATH IMMUNITY
DEF DOWN (A)",,ST DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"+PATK
DEF DOWN (A)",
