,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOWER OF TRIALS 시련의탑 (Season 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTES
,,Red Cells - Backline / Blue Cells - Frontline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ODD-NUMBERED FLOORS (RETIRED),Recommended Teams for 6 MEDALS (not limited to these):,,,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,"PHYSICAL
TEAM",,,,,,,,,,,,,,,,,"[Enemies] Inflicts DEF Reduction (always active)
Decreases DEF by 54%

[Enemies] Weakens enemies",,,,,,,"[Allies] Inflicts Paralysis for 2 turns

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Death/HP Alteraton/Cooldown Increase Immunity. (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,ELYSIA-T0,,KAGURA-T0,,BRANZE&BRANSEL-T0,,LU BU-T0,,KYLE-T0,,,,,,,,,,,,,,,,,,,,
,,"MAGIC
TEAM",,,,,,,,,,,,,,,,,"[Allies] Grants ATK Boost (always active)
Increases All ATK by 38%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants All DMG Nullification (3 hits)
Nullifies all DMG for a set amount of hits.
[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ELYSIA-T0,,MERCURE-T0,,JURI-T0,,FREYJA-T0,,SUNWUKONG-T0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FLOOR 1,,,,,,,,,,,,,,FLOOR 11,,,,,,,,,,,,,,,,,"Personal Recommendation for GENERAL Floor 19 (outdated from earlier seasons):

Kyle - Dellons, Kagura, Elysia, Juri
Use Elysia's Silence to aim to Silence all enemies. Then Kyle's Top Skill > Juri's Souldeath > Kyle's Btm Skill. Killing Fai is a HUGE DEAL.


Against PAIN TOLERANCE Floor 19:

WK Yeon - Melia Mercure Elysia
Use Elysia's Silence to start; then start Mercure's Magic Reflux asap. Beware of Rudy's link cleansing it
"
,,,,,,RUDY-T2,,ARAGON-T2,,YUI-T2,,LINA-T2,,ALICE-T2,,,,,,,LINA-T6,,JIN-T6,,YU SHIN-T6,,PASCAL-T6,,BIDAM-T6,,,,,
,,,FLOOR 3,,,,,,,,,,,,,,FLOOR 13,,,,,,,,,,,,,,,,,
,,,,,,BALLISTA-T2,,VANESSA-T2,,NIA-T2,,YU SHIN-T2,,DELLONS-T2,,,,,,,JAVE-T6,,LINA-T6,,SPIKE-T6,,FAI-T6,,JURI-T6,,,,,
,,,FLOOR 5,,,,,,,,,,,,,,FLOOR 15,,,,,,,,,,,,,,,,,
,,,,,,YU SHIN-T2,,SPIKE-T2,,JAVE-T2,,KRIS-T2,,EILEENE-T2,,,,,,,RUDY-T6,,ALICE-T6,,KRIS-T6,,ROSIE-T6,,JURI-T6,,,,,
,,,FLOOR 7,,,,,,,,,,,,,,FLOOR 17,,,,,,,,,,,,,,,,,
,,,,,,LEO-T2,,RAHKUN-T2,,BANE-T2,,KNOX-T2,,CLEO-T2,,,,,,,LINA-T6,,DELLONS-T6,,EILEENE-T6,,ROSIE-T6,,FAI-T6,,,,,
,,,FLOOR 9,,,,,,,,,,,,,,FLOOR 19,,,,,,,,,,,,,,,,,
,,,,,,YU SHIN-T2,,SYLVIA-T2,,SILVESTA-T2,,JURI-T2,,VANESSA-T2,,,,,,,RUDY-T6,,ALICE-T6,,ROSIE-T6,,FAI-T6,,JURI-T6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CURRENT BOSSES (Season 11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,JAVE,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Burn Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Inflicts Souldeath (5 turns)
Prevents Revive/Immortality/Indomitable from activating

[Enemies] Strengthen enemies",,,,,,,,"- Inflicts Dragonflame on counterattack 
- Decreases All ATK, DMG and DEF of front-row enemies"
