,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,NEW YEAR COUPONS,,,,,,,,,
,,,,1,BRANZEBRANSEL,,11,KEYKEYKEY,,21,RECONSTRUCTTELUS,,
,,,,2,HALFGOODHALFEVIL,,12,SENAHAJASENA,,22,SURPRISEFORYOU,,
,,,,3,LETSGO7K,,13,SENA77MEMORY,,23,TIMEFORADVENTURE,,
,,,,4,GRACEOFCHAOS,,14,SENASTARCRYSTAL,,24,CHLOEMAYALICE,,
,,,,5,100MILLIONHEARTS,,15,CHAOSESSENCE,,25,RUBYFARM,,
,,,,6,7S7E7V7E7N7,,16,OBLIVION,,26,ONEMORETIME,,
,,,,7,POOKIFIVEKINDS,,17,TARGETWISH,,27,KNIGHTSSEVEN,,
,,,,8,GOLDENKINGPEPE,,18,​​DELLONSVSKRIS,,28,TRUSTYFRIEND,,
,,,,9,77EVENT77,,19,DANCINGPOOKI,,29,PALLANUS,,
,,,,10,HAPPYNEWYEAR2026,,20,PSPDJEONGGI,,30,HAPPYSENATIME,,
,,,,,,,,,,,,,
,"Please access the sheet with these URL and navigate via the TABS AT THE BOTTOM the sheet:
https://tinyurl.com/7KRBREFSHEET - Less Lag but no hyperlinks
https://tinyurl.com/7KRBSHEET - Functions intact but may lag
Hyperlinks DO NOT work in this new view unfortunately",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Sheet Explanation Video: https://youtu.be/EvJ5aZorZE0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODEX,,,SKILL EFFECT GLOSSARY,,,TEAM BUILDING,,,TIER LISTS & BUILDS,,,"LATEST CHANGES
(FULL LIST OF CHANGES IN CHANGELOG)"
,,,,,,,,,,,,,
,,Legendary++ Heroes,,,Immunities,,,Adventure Stage Teams,,,PVE Hero Tierlist,,
,,Legendary+ Heroes,,,Offense-related Buffs & Debuffs,,,Power Up Dungeon Teams,,,Attack Type L Heroes,,
,,Legendary Heroes,,,Defense-related Buffs & Debuffs,,,Raid Teams,,,Magic Type L Heroes,,
,,Rare Heroes,,,"Effect-related, Statuses CC",,,Sudden Raid Teams,,,Defense Type L Heroes,,
,,Collab Heroes,,,Buff Remove/Duration Reduce,,,Castle Rush Teams,,,Support Type L Heroes,,
,,Pets,,,Special Effects,,,Advent Expedition (GoD) Teams,,,Universal Type L Heroes,,"19/5/2026 - 5.0
MEGA CHANGES TO SHEET
HAPPY 1ST SHEETVERSARY!

14/5/2026 - 4.10
Added Karl Heron

30/4/2026 - 4.9
Added O'Mok
Updated Rin's & Ruri's New Skillset
Revamped [GvG Tier] Sheet
Revamped [PVP Tierlist]
Updated [Fodder Management]
Updated [Skill Enhancement Priority]
Updated [Shop Purchase Recommendations]

16/4/2026 - 4.8
Added Mist, Nezha
Updated Aquila's New Skillset

2/4/2026 - 4.7
Added Randgrid, Deo
Updated Teo's New Skillset

24/3/2026 - 4.6
Added Sung Jinwoo, Cha Haein, Yoo Jinho, Lee Joohee
Added [Sudden Raid] Recommended Teams

6/3/2026 - 4.5
Added Reginleif, Guan Yu
"
,,Gears,,,,,,Advent Expedition (4LOO) Teams,,,All R Heroes,,
,,Accessories,,,,,,Tower of Trials Teams,,,Pet Tiering,,
,,,,,,,,GvG Teams,,,,,
,,,,,,,,PVP Teams,,,,,
,,,,,,,,,,,,,
,CREDITS AND REFERENCES,,,,,,,,,MISC,,,
,,,,,,,,,,,,,
,,,,,,,,,,,Roles,,
,,,,,,,,,,,Farming Efficiency,,
,dreamer_plays,,,,,,castiel73,,,,Shops,,
,,,,,,,,,,,Packs Tierlist,,
,7KDreamerPlays YouTube Channel,,,,,,,,,,Skill/Ult Enhancement Priorities,,
,,,,,,,,,,,Fodder Management,,
,7KDreamerPlays Discord Server,,,,,,,,,,Mercure's Lab,,
,,,,,,,,,,,Change Log,,
,,,,,,,,,,,,,
,SPECIAL THANKS SECTION,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"To Acid Aqua:
For inspiring the organization of the sheet",,,"To Terra Library:
For assisting with image sorucing",,,"To Negi Labs 7KRebirth Site (JP):
For helping with resource gathering",,,Seven Knights Re:BIRTH Official Forum,,,
,,,,,,,,,,,,,
,This 7KRe:BIRTH Reference Sheet is not affiliated with or endorsed by Netmarble.,,,,,,,,,,,,
